"subject","session","term","condition","ts_n","tt_n","triangular_score","os_n","ot_n","orthogonal_score","explicit","impasse","axis","triangular_time","totalTime","ts_t","tt_t","attn_check","native_language","year","major","country","sex","age"
"BYKF0","a16364378","fall21","111",0,2,2,4,9,13,"1","1","Orthogonal-XInside-YFull",566354,687966,228188,338166,1,"Other","Second","Social Sciences (incl. CogSci)","turkey","Female",20
"N36VM","a16041987","fall21","121",0,2,2,0,6,6,"1","2","Orthogonal-XInside-YFull",710323,824314,194641,515682,1,"English","Third","Social Sciences (incl. CogSci)","United States","Female",20
"Y0MZ6","a16622511","fall21","111",1,2,3,3,8,11,"1","1","Orthogonal-XInside-YFull",598167,806110,241878,356289,1,"English","Fourth","Social Sciences (incl. CogSci)","Vietnam","Female",27
"194UU","a15957989","fall21","111",0,2,2,4,7,11,"1","1","Orthogonal-XInside-YFull",1039340,1214690,555016,484324,1,"English","Other","Math or Computer Sciences","United States of America\nUnited States of America","Male",21
"SGTQJ","a16121250","fall21","111",0,2,2,5,10,15,"1","1","Orthogonal-XInside-YFull",394671,466658,133602,261069,1,"English","Third","Social Sciences (incl. CogSci)","USA","Female",20
"UQTQ6","a15468160","fall21","111",0,2,2,5,8,13,"1","1","Orthogonal-XInside-YFull",499485,574887,201128,298357,1,"English","Fourth","Social Sciences (incl. CogSci)","USA","Female",21
"ALN2P","a16561685","fall21","121",0,2,2,0,8,8,"1","2","Orthogonal-XInside-YFull",470422,614198,113646,356776,1,"English","Fourth","Social Sciences (incl. CogSci)","USA","Male",23
"PJYUH","a15917800","fall21","121",5,10,15,0,2,2,"1","2","Orthogonal-XInside-YFull",495158,634974,134443,360715,1,"English","Fourth","Social Sciences (incl. CogSci)","United States of America","Female",20
"N34B6","a16137762","fall21","111",5,9,14,0,2,2,"1","1","Orthogonal-XInside-YFull",722216,852927,300420,421796,1,"English","Third","Social Sciences (incl. CogSci)","usa","Female",20
"X8P7E","a15992680","fall21","111",1,2,3,3,9,12,"1","1","Orthogonal-XInside-YFull",419470,501351,79511,339959,1,"English","Third","Social Sciences (incl. CogSci)","USA","Male",20
"Q7A44","a17236014","fall21","121",5,10,15,0,2,2,"1","2","Orthogonal-XInside-YFull",342882,983485,125617,217265,1,"English","Third","Social Sciences (incl. CogSci)","United States of America","Male",21
"A9JCU","a16254358","fall21","111",0,2,2,3,8,11,"1","1","Orthogonal-XInside-YFull",518300,646950,153811,364489,1,"English","Second","Biomedical & Health Sciences","USA","Male",18
"3PADQ","a16546781","fall21","111",0,2,2,3,7,10,"1","1","Orthogonal-XInside-YFull",1069111,1315921,380004,689107,1,"Other","Fourth","Humanities","USA","Female",22
"QVWU9","a15407629","fall21","121",1,2,3,0,4,4,"1","2","Orthogonal-XInside-YFull",263676,382976,102257,161419,1,"English","Fourth","Social Sciences (incl. CogSci)","US","Female",21
"57C0V","15994246","fall21","121",1,2,3,0,9,9,"1","2","Orthogonal-XInside-YFull",851108,1228158,241267,609841,1,"Spanish","Third","Social Sciences (incl. CogSci)","usa","Female",20
"8MT4O","a16325198","fall21","121",0,2,2,0,5,5,"1","2","Orthogonal-XInside-YFull",346811,517784,110922,235889,1,"English","Second","Fine Arts","United States","Female",19
"E9SDE","a16641170","fall21","121",0,3,3,0,5,5,"1","2","Orthogonal-XInside-YFull",701719,802754,370870,330849,1,"English","Second","Social Sciences (incl. CogSci)","United States\nUnited States","Female",19
"PY424","a16144697","fall21","111",1,2,3,3,10,13,"1","1","Orthogonal-XInside-YFull",480376,723961,172046,308330,1,"English","Third","Social Sciences (incl. CogSci)","united states of america","Female",20
"KXRFL","a15545916","fall21","111",1,2,3,2,10,12,"1","1","Orthogonal-XInside-YFull",734864,1036055,209598,525266,1,"English","Fourth","Social Sciences (incl. CogSci)","United States of America","Male",21
"7METL","a16677006","fall21","111",0,1,1,4,5,9,"1","1","Orthogonal-XInside-YFull",188803,330179,50923,137880,1,"English","Second","Social Sciences (incl. CogSci)","India","Female",19
"MAJW8","a16648429","fall21","121",5,10,15,0,2,2,"1","2","Orthogonal-XInside-YFull",474923,567540,100023,374900,1,"English","Second","Engineering","US","Female",19
"Z461O","a16608791","fall21","111",0,2,2,4,8,12,"1","1","Orthogonal-XInside-YFull",555948,656702,105835,450113,1,"English","Fourth","Social Sciences (incl. CogSci)","United States","Female",21
"FDRWD","a16675361","fall21","111",0,2,2,5,10,15,"1","1","Orthogonal-XInside-YFull",806566,922505,276111,530455,1,"English","Second","Biomedical & Health Sciences","United States","Male",19
"QNNZZ","a15992567","fall21","121",2,2,4,0,10,10,"1","2","Orthogonal-XInside-YFull",761894,862798,443718,318176,1,"Mandarin or Cantonese","Third","Social Sciences (incl. CogSci)","Hong Kong","Male",20
"BR500","a16622681","fall21","121",0,2,2,0,8,8,"1","2","Orthogonal-XInside-YFull",412321,484062,230704,181617,1,"English","Fourth","Social Sciences (incl. CogSci)","USA","Female",21
"PRA08","a16137081","fall21","121",0,2,2,0,9,9,"1","2","Orthogonal-XInside-YFull",449614,721294,136457,313157,1,"English","Third","Social Sciences (incl. CogSci)","U.S","Male",20
"NV47T","a15534110","fall21","121",1,2,3,0,9,9,"1","2","Orthogonal-XInside-YFull",893751,1053379,300848,592903,1,"English","Fourth","Social Sciences (incl. CogSci)","US","Male",21
"98VDX","a16783696","fall21","121",1,3,4,0,9,9,"1","2","Orthogonal-XInside-YFull",673335,756589,241019,432316,1,"English","First","Biomedical & Health Sciences","United States","Female",18
"776UX","a15987011","fall21","111",0,1,1,5,5,10,"1","1","Orthogonal-XInside-YFull",1566717,1644082,434819,1131898,1,"English","Third","Biomedical & Health Sciences","United states","Female",20
"98R7E","a16148682","fall21","111",5,8,13,0,1,1,"1","1","Orthogonal-XInside-YFull",469217,769016,106025,363192,1,"Spanish","Third","Biomedical & Health Sciences","United States of America","Female",20
"Y7EP3","a15566972","fall21","121",1,1,2,0,3,3,"1","2","Orthogonal-XInside-YFull",479853,610307,168797,311056,1,"Spanish","Fourth","Humanities","north America","Female",21
"F4XPD","a16138265","fall21","111",0,2,2,4,10,14,"1","1","Orthogonal-XInside-YFull",475545,567606,158776,316769,1,"English","Third","Social Sciences (incl. CogSci)","United States","Male",20
"77SKE","a16329216","fall21","111",2,2,4,1,6,7,"1","1","Orthogonal-XInside-YFull",572306,711405,270031,302275,1,"English","Second","Social Sciences (incl. CogSci)","United States","Female",20
"0YVPY","a15857484","fall21","121",4,1,5,0,2,2,"1","2","Orthogonal-XInside-YFull",615497,717521,273753,341744,1,"English","Third","Social Sciences (incl. CogSci)","USA","Female",20
"MM806","a17103928","fall21","121",0,2,2,0,8,8,"1","2","Orthogonal-XInside-YFull",385406,463390,194827,190579,1,"English","First","Social Sciences (incl. CogSci)","USA","Female",18
"NH0FO","a15386946","fall21","121",5,10,15,0,2,2,"1","2","Orthogonal-XInside-YFull",545875,647328,224943,320932,1,"English","Fourth","Biomedical & Health Sciences","USA","Female",21
"431GR","a16797648","fall21","111",4,9,13,0,2,2,"1","1","Orthogonal-XInside-YFull",426518,557465,130618,295900,1,"English","First","Social Sciences (incl. CogSci)","United States","Female",18
