"subject","session","term","condition","ts_n","tt_n","triangular_score","os_n","ot_n","orthogonal_score","explicit","impasse","axis","triangular_time","totalTime","ts_t","tt_t","attn_check","native_language","year","major","country","sex","age"
"BYKF0","a16364378","fall21","111",0,2,2,4,9,13,"1","1","Orthogonal-XInside-YFull",566354,687966,228188,338166,1,"Other","Second","Social Sciences (incl. CogSci)","turkey","Female",20
"Y0MZ6","a16622511","fall21","111",1,2,3,3,8,11,"1","1","Orthogonal-XInside-YFull",598167,806110,241878,356289,1,"English","Fourth","Social Sciences (incl. CogSci)","Vietnam","Female",27
"194UU","a15957989","fall21","111",0,2,2,4,7,11,"1","1","Orthogonal-XInside-YFull",1039340,1214690,555016,484324,1,"English","Other","Math or Computer Sciences","United States of America\nUnited States of America","Male",21
"SGTQJ","a16121250","fall21","111",0,2,2,5,10,15,"1","1","Orthogonal-XInside-YFull",394671,466658,133602,261069,1,"English","Third","Social Sciences (incl. CogSci)","USA","Female",20
"UQTQ6","a15468160","fall21","111",0,2,2,5,8,13,"1","1","Orthogonal-XInside-YFull",499485,574887,201128,298357,1,"English","Fourth","Social Sciences (incl. CogSci)","USA","Female",21
"N34B6","a16137762","fall21","111",5,9,14,0,2,2,"1","1","Orthogonal-XInside-YFull",722216,852927,300420,421796,1,"English","Third","Social Sciences (incl. CogSci)","usa","Female",20
"X8P7E","a15992680","fall21","111",1,2,3,3,9,12,"1","1","Orthogonal-XInside-YFull",419470,501351,79511,339959,1,"English","Third","Social Sciences (incl. CogSci)","USA","Male",20
"A9JCU","a16254358","fall21","111",0,2,2,3,8,11,"1","1","Orthogonal-XInside-YFull",518300,646950,153811,364489,1,"English","Second","Biomedical & Health Sciences","USA","Male",18
"3PADQ","a16546781","fall21","111",0,2,2,3,7,10,"1","1","Orthogonal-XInside-YFull",1069111,1315921,380004,689107,1,"Other","Fourth","Humanities","USA","Female",22
"BASO5","a15049392","fall21","111",4,7,11,0,1,1,"1","1","Orthogonal-XInside-YFull",431344,500598,103343,328001,1,"Other","Fourth","Social Sciences (incl. CogSci)","USA","Other",22
"PY424","a16144697","fall21","111",1,2,3,3,10,13,"1","1","Orthogonal-XInside-YFull",480376,723961,172046,308330,1,"English","Third","Social Sciences (incl. CogSci)","united states of america","Female",20
"KXRFL","a15545916","fall21","111",1,2,3,2,10,12,"1","1","Orthogonal-XInside-YFull",734864,1036055,209598,525266,1,"English","Fourth","Social Sciences (incl. CogSci)","United States of America","Male",21
"7METL","a16677006","fall21","111",0,1,1,4,5,9,"1","1","Orthogonal-XInside-YFull",188803,330179,50923,137880,1,"English","Second","Social Sciences (incl. CogSci)","India","Female",19
"WUB39","a15585339","fall21","111",0,2,2,5,8,13,"1","1","Orthogonal-XInside-YFull",542533,666802,173815,368718,1,"English","Fourth","Biomedical & Health Sciences","USA","Male",21
