"subject","study","term","pool","mode","block","explicit","impasse","grid","mark","ixn","gwidth","gheight","graph","time_elapsed_m","question","relation","q","correct","discriminant","tri_score","orth_score","other_score","blank_score","answer","rt_s","condition"
"7FU37","SGC3A","winter22","sona","asynch","item_scaffold","1","1","1","1","1",600,600,"triangular",1.29186666666667,"Which shift(s) start at 11 am?","starttime","1","FALSE",-1,0,1,0,0,"A",17.502,"111"
"7FU37","SGC3A","winter22","sona","asynch","item_scaffold","1","1","1","1","1",600,600,"triangular",1.5666,"Which shift(s) start at the same time as D?","starts","2","FALSE",-1,0,1,0,0,"E",16.376,"111"
"7FU37","SGC3A","winter22","sona","asynch","item_scaffold","1","1","1","1","1",600,600,"triangular",1.6831,"Which shift(s) begin when C ends?","meets","3","FALSE",0,0,0,0,1,"",6.892,"111"
"7FU37","SGC3A","winter22","sona","asynch","item_scaffold","1","1","1","1","1",600,600,"triangular",2.52093333333333,"Which shift(s) end at 4 pm?","endtime","4","FALSE",-0.166666666666667,0,0,2,0,"X,K",50.172,"111"
"7FU37","SGC3A","winter22","sona","asynch","item_scaffold","1","1","1","1","1",600,600,"triangular",2.80571666666667,"Coffee breaks happen halfway through a shift.</br> Which shift(s) share a break with I?","midpoint","5","TRUE",1,1,0,0,0,"O",16.89,"111"
"7FU37","SGC3A","winter22","sona","asynch","item_nondiscriminant","1","1","1","1","1",600,600,"triangular",3.6916,"Which shift(s) are six hours long?","duration","6","TRUE",0,2,2,0,0,"E,G",46.975,"111"
"7FU37","SGC3A","winter22","sona","asynch","item_test","1","1","1","1","1",600,600,"triangular",5.63006666666667,"Which 2 shifts less than 5 hours long start at the same time?","duration+starts","7","FALSE",-0.166666666666667,0,0,2,0,"C,H",116.209,"111"
"7FU37","SGC3A","winter22","sona","asynch","item_test","1","1","1","1","1",600,600,"triangular",6.5631,"Which shift(s) under 7 hours long starts before B starts, and ends after X ends?","duration+contained","8","FALSE",-0.0833333333333333,0,0,1,0,"O",55.352,"111"
"7FU37","SGC3A","winter22","sona","asynch","item_nondiscriminant","1","1","1","1","1",600,600,"triangular",6.93258333333333,"Which shift(s) begins before J begins and ends during B?","starttime+before+endtime+during","9","TRUE",0,1,1,0,0,"I",22.067,"111"
"7FU37","SGC3A","winter22","sona","asynch","item_test","1","1","1","1","1",600,600,"triangular",7.05471666666667,"Which shift(s) end at the same time as F?","ends","10","FALSE",-0.0833333333333333,0,0,1,0,"Z",7.223,"111"
"7FU37","SGC3A","winter22","sona","asynch","item_test","1","1","1","1","1",600,600,"triangular",7.4043,"Which shift(s) start at 12pm?","starttime","11","FALSE",-1,0,2,0,0,"B,F",20.877,"111"
"7FU37","SGC3A","winter22","sona","asynch","item_test","1","1","1","1","1",600,600,"triangular",8.34061666666667,"Which shift(s) start at the same time as F?","starts","12","FALSE",-1,0,1,0,0,"B",56.072,"111"
"7FU37","SGC3A","winter22","sona","asynch","item_nondiscriminant","1","1","1","1","1",600,600,"triangular",9.55521666666667,"Which 2 shifts end when Z begins?","meets","13","FALSE",-0.166666666666667,0,0,2,0,"H,L",72.771,"111"
"7FU37","SGC3A","winter22","sona","asynch","item_test","1","1","1","1","1",600,600,"triangular",9.81216666666667,"Which shift(s) end at 3pm?","endtime","14","FALSE",0,0,0,0,1,"",15.061,"111"
"7FU37","SGC3A","winter22","sona","asynch","item_test","1","1","1","1","1",600,600,"triangular",10.05665,"Coffee breaks happen halfway through a shift. </br>Which shifts share a break at 2pm?","midpoint","15","TRUE",1,2,0,0,0,"K,X",14.573,"111"
"ZCMED","SGC3A","winter22","sona","asynch","item_scaffold","1","1","1","1","1",600,600,"triangular",5.04685,"Which shift(s) start at 11 am?","starttime","1","FALSE",-1,0,1,0,0,"A",12.835,"111"
"ZCMED","SGC3A","winter22","sona","asynch","item_scaffold","1","1","1","1","1",600,600,"triangular",5.23886666666667,"Which shift(s) start at the same time as D?","starts","2","FALSE",-1,0,1,0,0,"E",11.399,"111"
"ZCMED","SGC3A","winter22","sona","asynch","item_scaffold","1","1","1","1","1",600,600,"triangular",5.43445,"Which shift(s) begin when C ends?","meets","3","FALSE",-0.0833333333333333,0,0,1,0,"O",11.624,"111"
"ZCMED","SGC3A","winter22","sona","asynch","item_scaffold","1","1","1","1","1",600,600,"triangular",5.72711666666667,"Which shift(s) end at 4 pm?","endtime","4","FALSE",-0.166666666666667,0,0,2,0,"D,E",17.229,"111"
"ZCMED","SGC3A","winter22","sona","asynch","item_scaffold","1","1","1","1","1",600,600,"triangular",6.05158333333333,"Coffee breaks happen halfway through a shift.</br> Which shift(s) share a break with I?","midpoint","5","FALSE",-0.0833333333333333,0,0,1,0,"H",19.373,"111"
"ZCMED","SGC3A","winter22","sona","asynch","item_nondiscriminant","1","1","1","1","1",600,600,"triangular",6.12708333333333,"Which shift(s) are six hours long?","duration","6","FALSE",-0.0833333333333333,0,0,1,0,"Z",2.547,"111"
"ZCMED","SGC3A","winter22","sona","asynch","item_test","1","1","1","1","1",600,600,"triangular",6.16253333333333,"Which 2 shifts less than 5 hours long start at the same time?","duration+starts","7","FALSE",-0.0833333333333333,0,0,1,0,"Z",2.028,"111"
"ZCMED","SGC3A","winter22","sona","asynch","item_test","1","1","1","1","1",600,600,"triangular",6.18821666666667,"Which shift(s) under 7 hours long starts before B starts, and ends after X ends?","duration+contained","8","FALSE",-0.0833333333333333,0,0,1,0,"Z",1.442,"111"
"ZCMED","SGC3A","winter22","sona","asynch","item_nondiscriminant","1","1","1","1","1",600,600,"triangular",6.23173333333333,"Which shift(s) begins before J begins and ends during B?","starttime+before+endtime+during","9","FALSE",-0.0833333333333333,0,0,1,0,"Z",2.449,"111"
"ZCMED","SGC3A","winter22","sona","asynch","item_test","1","1","1","1","1",600,600,"triangular",6.25768333333333,"Which shift(s) end at the same time as F?","ends","10","FALSE",-0.0833333333333333,0,0,1,0,"Z",1.421,"111"
"ZCMED","SGC3A","winter22","sona","asynch","item_test","1","1","1","1","1",600,600,"triangular",6.26491666666667,"Which shift(s) start at 12pm?","starttime","11","FALSE",0,0,0,0,1,"",0.23,"111"
"ZCMED","SGC3A","winter22","sona","asynch","item_test","1","1","1","1","1",600,600,"triangular",6.30158333333333,"Which shift(s) start at the same time as F?","starts","12","FALSE",-0.0833333333333333,0,0,1,0,"Z",2.057,"111"
"ZCMED","SGC3A","winter22","sona","asynch","item_nondiscriminant","1","1","1","1","1",600,600,"triangular",6.33425,"Which 2 shifts end when Z begins?","meets","13","FALSE",-0.0833333333333333,0,0,1,0,"Z",1.847,"111"
"ZCMED","SGC3A","winter22","sona","asynch","item_test","1","1","1","1","1",600,600,"triangular",6.3625,"Which shift(s) end at 3pm?","endtime","14","FALSE",-0.0833333333333333,0,0,1,0,"Z",1.483,"111"
"ZCMED","SGC3A","winter22","sona","asynch","item_test","1","1","1","1","1",600,600,"triangular",6.389,"Coffee breaks happen halfway through a shift. </br>Which shifts share a break at 2pm?","midpoint","15","FALSE",-0.0833333333333333,0,0,1,0,"Z",1.396,"111"
"YWPBP","SGC3A","winter22","sona","asynch","item_scaffold","1","1","1","1","1",600,600,"triangular",1.28873333333333,"Which shift(s) start at 11 am?","starttime","1","FALSE",-1,0,1,0,0,"A",8.621,"111"
"YWPBP","SGC3A","winter22","sona","asynch","item_scaffold","1","1","1","1","1",600,600,"triangular",1.44511666666667,"Which shift(s) start at the same time as D?","starts","2","FALSE",-1,0,1,0,0,"E",9.206,"111"
"YWPBP","SGC3A","winter22","sona","asynch","item_scaffold","1","1","1","1","1",600,600,"triangular",1.60845,"Which shift(s) begin when C ends?","meets","3","FALSE",-1,0,1,0,0,"Z",9.595,"111"
"YWPBP","SGC3A","winter22","sona","asynch","item_scaffold","1","1","1","1","1",600,600,"triangular",2.0829,"Which shift(s) end at 4 pm?","endtime","4","FALSE",-1,0,1,0,0,"U",28.364,"111"
"YWPBP","SGC3A","winter22","sona","asynch","item_scaffold","1","1","1","1","1",600,600,"triangular",2.64293333333333,"Coffee breaks happen halfway through a shift.</br> Which shift(s) share a break with I?","midpoint","5","FALSE",0,0,0,0,1,"",33.513,"111"
"YWPBP","SGC3A","winter22","sona","asynch","item_nondiscriminant","1","1","1","1","1",600,600,"triangular",2.89568333333333,"Which shift(s) are six hours long?","duration","6","TRUE",0,2,2,0,0,"E,G",8.602,"111"
"YWPBP","SGC3A","winter22","sona","asynch","item_test","1","1","1","1","1",600,600,"triangular",3.08261666666667,"Which 2 shifts less than 5 hours long start at the same time?","duration+starts","7","FALSE",-1,0,2,0,0,"B,F",11.033,"111"
"YWPBP","SGC3A","winter22","sona","asynch","item_test","1","1","1","1","1",600,600,"triangular",3.5215,"Which shift(s) under 7 hours long starts before B starts, and ends after X ends?","duration+contained","8","FALSE",-1.16666666666667,0,1,2,0,"E,I,J",26.242,"111"
"YWPBP","SGC3A","winter22","sona","asynch","item_nondiscriminant","1","1","1","1","1",600,600,"triangular",3.82095,"Which shift(s) begins before J begins and ends during B?","starttime+before+endtime+during","9","TRUE",0,1,1,0,0,"I",17.852,"111"
"YWPBP","SGC3A","winter22","sona","asynch","item_test","1","1","1","1","1",600,600,"triangular",3.94155,"Which shift(s) end at the same time as F?","ends","10","FALSE",0,0,0,0,1,"",7.073,"111"
"YWPBP","SGC3A","winter22","sona","asynch","item_test","1","1","1","1","1",600,600,"triangular",4.08908333333333,"Which shift(s) start at 12pm?","starttime","11","FALSE",-1,0,2,0,0,"B,F",8.744,"111"
"YWPBP","SGC3A","winter22","sona","asynch","item_test","1","1","1","1","1",600,600,"triangular",4.1666,"Which shift(s) start at the same time as F?","starts","12","FALSE",-1,0,1,0,0,"B",4.555,"111"
"YWPBP","SGC3A","winter22","sona","asynch","item_nondiscriminant","1","1","1","1","1",600,600,"triangular",4.25605,"Which 2 shifts end when Z begins?","meets","13","FALSE",0,0,0,0,1,"",5.272,"111"
"YWPBP","SGC3A","winter22","sona","asynch","item_test","1","1","1","1","1",600,600,"triangular",4.29021666666667,"Which shift(s) end at 3pm?","endtime","14","FALSE",0,0,0,0,1,"",1.95,"111"
"YWPBP","SGC3A","winter22","sona","asynch","item_test","1","1","1","1","1",600,600,"triangular",4.41495,"Coffee breaks happen halfway through a shift. </br>Which shifts share a break at 2pm?","midpoint","15","FALSE",0,0,0,0,1,"",7.381,"111"
"6RQTQ","SGC3A","winter22","sona","asynch","item_scaffold","1","1","1","1","1",600,600,"triangular",0.812,"Which shift(s) start at 11 am?","starttime","1","FALSE",-1,0,1,0,0,"A",11.209,"111"
"6RQTQ","SGC3A","winter22","sona","asynch","item_scaffold","1","1","1","1","1",600,600,"triangular",0.97265,"Which shift(s) start at the same time as D?","starts","2","FALSE",-1,0,1,0,0,"E",9.525,"111"
"6RQTQ","SGC3A","winter22","sona","asynch","item_scaffold","1","1","1","1","1",600,600,"triangular",1.44158333333333,"Which shift(s) begin when C ends?","meets","3","FALSE",0.333333333333333,1,0,8,0,"X,O,I,J,H,F,K,E,G",28.03,"111"
"6RQTQ","SGC3A","winter22","sona","asynch","item_scaffold","1","1","1","1","1",600,600,"triangular",1.54038333333333,"Which shift(s) end at 4 pm?","endtime","4","FALSE",0,0,0,0,1,"",5.818,"111"
"6RQTQ","SGC3A","winter22","sona","asynch","item_scaffold","1","1","1","1","1",600,600,"triangular",1.66538333333333,"Coffee breaks happen halfway through a shift.</br> Which shift(s) share a break with I?","midpoint","5","FALSE",0,0,0,0,1,"",7.393,"111"
"6RQTQ","SGC3A","winter22","sona","asynch","item_nondiscriminant","1","1","1","1","1",600,600,"triangular",1.83341666666667,"Which shift(s) are six hours long?","duration","6","FALSE",0,1,1,0,0,"E",8.056,"111"
"6RQTQ","SGC3A","winter22","sona","asynch","item_test","1","1","1","1","1",600,600,"triangular",1.8813,"Which 2 shifts less than 5 hours long start at the same time?","duration+starts","7","FALSE",-0.0833333333333333,0,0,1,0,"E",2.768,"111"
"6RQTQ","SGC3A","winter22","sona","asynch","item_test","1","1","1","1","1",600,600,"triangular",1.89475,"Which shift(s) under 7 hours long starts before B starts, and ends after X ends?","duration+contained","8","FALSE",0,0,0,0,1,"",0.698,"111"
"6RQTQ","SGC3A","winter22","sona","asynch","item_nondiscriminant","1","1","1","1","1",600,600,"triangular",1.90715,"Which shift(s) begins before J begins and ends during B?","starttime+before+endtime+during","9","FALSE",0,0,0,0,1,"",0.638,"111"
"6RQTQ","SGC3A","winter22","sona","asynch","item_test","1","1","1","1","1",600,600,"triangular",1.91945,"Which shift(s) end at the same time as F?","ends","10","FALSE",0,0,0,0,1,"",0.628,"111"
"6RQTQ","SGC3A","winter22","sona","asynch","item_test","1","1","1","1","1",600,600,"triangular",1.93075,"Which shift(s) start at 12pm?","starttime","11","FALSE",0,0,0,0,1,"",0.551,"111"
"6RQTQ","SGC3A","winter22","sona","asynch","item_test","1","1","1","1","1",600,600,"triangular",1.95688333333333,"Which shift(s) start at the same time as F?","starts","12","FALSE",0,0,0,0,1,"",1.434,"111"
"6RQTQ","SGC3A","winter22","sona","asynch","item_nondiscriminant","1","1","1","1","1",600,600,"triangular",1.96916666666667,"Which 2 shifts end when Z begins?","meets","13","FALSE",0,0,0,0,1,"",0.593,"111"
"6RQTQ","SGC3A","winter22","sona","asynch","item_test","1","1","1","1","1",600,600,"triangular",1.98071666666667,"Which shift(s) end at 3pm?","endtime","14","FALSE",0,0,0,0,1,"",0.583,"111"
"6RQTQ","SGC3A","winter22","sona","asynch","item_test","1","1","1","1","1",600,600,"triangular",2.04996666666667,"Coffee breaks happen halfway through a shift. </br>Which shifts share a break at 2pm?","midpoint","15","FALSE",-0.0833333333333333,0,0,1,0,"N",4.045,"111"
"G6248","SGC3A","winter22","sona","asynch","item_scaffold","1","1","1","1","1",600,600,"triangular",1.08198333333333,"Which shift(s) start at 11 am?","starttime","1","FALSE",-1,0,1,0,0,"A",29.253,"111"
"G6248","SGC3A","winter22","sona","asynch","item_scaffold","1","1","1","1","1",600,600,"triangular",1.50775,"Which shift(s) start at the same time as D?","starts","2","FALSE",-1,0,1,0,0,"E",25.422,"111"
"G6248","SGC3A","winter22","sona","asynch","item_scaffold","1","1","1","1","1",600,600,"triangular",2.17321666666667,"Which shift(s) begin when C ends?","meets","3","FALSE",-1,0,1,0,0,"Z",39.812,"111"
"G6248","SGC3A","winter22","sona","asynch","item_scaffold","1","1","1","1","1",600,600,"triangular",2.89316666666667,"Which shift(s) end at 4 pm?","endtime","4","FALSE",-0.166666666666667,0,0,2,0,"D,E",43.076,"111"
"G6248","SGC3A","winter22","sona","asynch","item_scaffold","1","1","1","1","1",600,600,"triangular",2.9754,"Coffee breaks happen halfway through a shift.</br> Which shift(s) share a break with I?","midpoint","5","FALSE",-1.16666666666667,0,1,2,0,"F,K,U",4.809,"111"
"G6248","SGC3A","winter22","sona","asynch","item_nondiscriminant","1","1","1","1","1",600,600,"triangular",3.1474,"Which shift(s) are six hours long?","duration","6","FALSE",-0.25,1,1,3,0,"E,F,I,L",6.155,"111"
"G6248","SGC3A","winter22","sona","asynch","item_test","1","1","1","1","1",600,600,"triangular",3.22823333333333,"Which 2 shifts less than 5 hours long start at the same time?","duration+starts","7","FALSE",-0.666666666666667,0,1,2,0,"B,C,K",4.723,"111"
"G6248","SGC3A","winter22","sona","asynch","item_test","1","1","1","1","1",600,600,"triangular",3.30436666666667,"Which shift(s) under 7 hours long starts before B starts, and ends after X ends?","duration+contained","8","FALSE",0.75,1,0,3,0,"G,M,N,X",4.444,"111"
"G6248","SGC3A","winter22","sona","asynch","item_nondiscriminant","1","1","1","1","1",600,600,"triangular",3.37001666666667,"Which shift(s) begins before J begins and ends during B?","starttime+before+endtime+during","9","FALSE",-0.25,0,0,3,0,"B,H,N",3.813,"111"
"G6248","SGC3A","winter22","sona","asynch","item_test","1","1","1","1","1",600,600,"triangular",3.50006666666667,"Which shift(s) end at the same time as F?","ends","10","FALSE",-0.25,0,0,3,0,"C,I,O",7.682,"111"
"G6248","SGC3A","winter22","sona","asynch","item_test","1","1","1","1","1",600,600,"triangular",3.58451666666667,"Which shift(s) start at 12pm?","starttime","11","FALSE",-0.25,0,0,3,0,"E,K,O",4.773,"111"
"G6248","SGC3A","winter22","sona","asynch","item_test","1","1","1","1","1",600,600,"triangular",3.66296666666667,"Which shift(s) start at the same time as F?","starts","12","FALSE",-0.333333333333333,0,0,4,0,"A,C,J,K",4.567,"111"
"G6248","SGC3A","winter22","sona","asynch","item_nondiscriminant","1","1","1","1","1",600,600,"triangular",3.745,"Which 2 shifts end when Z begins?","meets","13","FALSE",-0.333333333333333,0,0,4,0,"A,C,N,O",4.436,"111"
"G6248","SGC3A","winter22","sona","asynch","item_test","1","1","1","1","1",600,600,"triangular",3.82881666666667,"Which shift(s) end at 3pm?","endtime","14","FALSE",-0.333333333333333,0,0,4,0,"G,H,O,Z",4.875,"111"
"G6248","SGC3A","winter22","sona","asynch","item_test","1","1","1","1","1",600,600,"triangular",3.91193333333333,"Coffee breaks happen halfway through a shift. </br>Which shifts share a break at 2pm?","midpoint","15","FALSE",-0.25,0,0,3,0,"B,H,N",4.853,"111"
"8C6B0","SGC3A","winter22","sona","asynch","item_scaffold","1","2","1","1","1",600,600,"triangular",1.61398333333333,"Which shift(s) start at 11 am?","starttime","1","FALSE",-0.166666666666667,0,0,0,0,"O,A",52.798,"121"
"8C6B0","SGC3A","winter22","sona","asynch","item_scaffold","1","2","1","1","1",600,600,"triangular",1.73296666666667,"Which shift(s) start at the same time as D?","starts","2","FALSE",-0.0833333333333333,0,0,0,0,"J",7.035,"121"
"8C6B0","SGC3A","winter22","sona","asynch","item_scaffold","1","2","1","1","1",600,600,"triangular",2.06246666666667,"Which shift(s) begin when C ends?","meets","3","TRUE",1,1,0,0,0,"F",19.668,"121"
"8C6B0","SGC3A","winter22","sona","asynch","item_scaffold","1","2","1","1","1",600,600,"triangular",2.49998333333333,"Which shift(s) end at 4 pm?","endtime","4","FALSE",-0.0833333333333333,0,0,1,0,"U",26.147,"121"
"8C6B0","SGC3A","winter22","sona","asynch","item_scaffold","1","2","1","1","1",600,600,"triangular",2.59066666666667,"Coffee breaks happen halfway through a shift.</br> Which shift(s) share a break with I?","midpoint","5","FALSE",-0.0833333333333333,0,0,1,0,"F",5.335,"121"
"8C6B0","SGC3A","winter22","sona","asynch","item_nondiscriminant","1","1","1","1","1",600,600,"triangular",2.78978333333333,"Which shift(s) are six hours long?","duration","6","TRUE",0,2,2,0,0,"E,G",8.629,"121"
"8C6B0","SGC3A","winter22","sona","asynch","item_test","1","1","1","1","1",600,600,"triangular",3.26843333333333,"Which 2 shifts less than 5 hours long start at the same time?","duration+starts","7","FALSE",-1,0,2,0,0,"B,F",28.613,"121"
"8C6B0","SGC3A","winter22","sona","asynch","item_test","1","1","1","1","1",600,600,"triangular",3.79053333333333,"Which shift(s) under 7 hours long starts before B starts, and ends after X ends?","duration+contained","8","FALSE",-1,0,1,0,0,"E",31.222,"121"
"8C6B0","SGC3A","winter22","sona","asynch","item_nondiscriminant","1","1","1","1","1",600,600,"triangular",3.85661666666667,"Which shift(s) begins before J begins and ends during B?","starttime+before+endtime+during","9","FALSE",-0.0833333333333333,0,0,1,0,"F",3.865,"121"
"8C6B0","SGC3A","winter22","sona","asynch","item_test","1","1","1","1","1",600,600,"triangular",4.4307,"Which shift(s) end at the same time as F?","ends","10","FALSE",-1,0,1,0,0,"X",34.344,"121"
"8C6B0","SGC3A","winter22","sona","asynch","item_test","1","1","1","1","1",600,600,"triangular",4.56286666666667,"Which shift(s) start at 12pm?","starttime","11","FALSE",-1,0,2,0,0,"B,F",7.833,"121"
"8C6B0","SGC3A","winter22","sona","asynch","item_test","1","1","1","1","1",600,600,"triangular",4.6936,"Which shift(s) start at the same time as F?","starts","12","FALSE",-1,0,1,0,0,"B",7.748,"121"
"8C6B0","SGC3A","winter22","sona","asynch","item_nondiscriminant","1","1","1","1","1",600,600,"triangular",5.28988333333333,"Which 2 shifts end when Z begins?","meets","13","FALSE",-0.0833333333333333,0,0,1,0,"H",35.676,"121"
"8C6B0","SGC3A","winter22","sona","asynch","item_test","1","1","1","1","1",600,600,"triangular",5.32646666666667,"Which shift(s) end at 3pm?","endtime","14","FALSE",-0.0833333333333333,0,0,1,0,"O",2.094,"121"
"8C6B0","SGC3A","winter22","sona","asynch","item_test","1","1","1","1","1",600,600,"triangular",5.3659,"Coffee breaks happen halfway through a shift. </br>Which shifts share a break at 2pm?","midpoint","15","FALSE",-0.0833333333333333,0,0,1,0,"I",2.259,"121"
"5FMKD","SGC3A","winter22","sona","asynch","item_scaffold","1","2","1","1","1",600,600,"triangular",1.06166666666667,"Which shift(s) start at 11 am?","starttime","1","FALSE",0,0,0,0,1,"",27.849,"121"
"5FMKD","SGC3A","winter22","sona","asynch","item_scaffold","1","2","1","1","1",600,600,"triangular",1.32243333333333,"Which shift(s) start at the same time as D?","starts","2","FALSE",-0.0833333333333333,0,0,0,0,"G",15.546,"121"
"5FMKD","SGC3A","winter22","sona","asynch","item_scaffold","1","2","1","1","1",600,600,"triangular",1.7341,"Which shift(s) begin when C ends?","meets","3","FALSE",-0.166666666666667,0,0,0,0,"I,A",24.607,"121"
