"subject","study","term","pool","mode","block","explicit","impasse","grid","mark","ixn","gwidth","gheight","graph","time_elapsed_m","question","relation","q","correct","discriminant","tri_score","orth_score","other_score","blank_score","answer","rt_s","condition"
"1MD0B","SGC4A","winter22","sona","asynch","item_test","1","1","1","1","1",600,600,"triangular",1.05561666666667,"Which shift(s) start at 11 am?","starttime","1","FALSE",-0.0833333333333333,0,0,1,0,"X",12.468,"11111"
"1MD0B","SGC4A","winter22","sona","asynch","item_test","1","1","1","1","1",600,600,"triangular",1.23686666666667,"Which shift(s) start at the same time as D?","starts","2","FALSE",-0.0833333333333333,0,0,0,0,"J",10.727,"11111"
"1MD0B","SGC4A","winter22","sona","asynch","item_test","1","1","1","1","1",600,600,"triangular",1.40723333333333,"Which shift(s) begin when C ends?","meets","3","FALSE",-1,0,1,0,0,"Z",10.096,"11111"
"1MD0B","SGC4A","winter22","sona","asynch","item_test","1","1","1","1","1",600,600,"triangular",1.57828333333333,"Which shift(s) end at 4 pm?","endtime","4","FALSE",-0.166666666666667,0,0,2,0,"K,D",10.138,"11111"
"1MD0B","SGC4A","winter22","sona","asynch","item_test","1","1","1","1","1",600,600,"triangular",1.6428,"Coffee breaks happen halfway through a shift.</br> Which shift(s) share a break with I?","midpoint","5","FALSE",-0.166666666666667,0,0,2,0,"J,D",3.745,"11111"
"1MD0B","SGC4A","winter22","sona","asynch","item_nondiscriminant","1","1","1","1","1",600,600,"triangular",1.8541,"Which shift(s) are six hours long?","duration","6","FALSE",-0.166666666666667,1,1,2,0,"C,G,K",5.594,"11111"
"1MD0B","SGC4A","winter22","sona","asynch","item_test","1","1","1","1","1",600,600,"triangular",1.91058333333333,"Which 2 shifts less than 5 hours long start at the same time?","duration+starts","7","FALSE",-0.666666666666667,0,1,2,0,"F,G,H",3.258,"11111"
"1MD0B","SGC4A","winter22","sona","asynch","item_test","1","1","1","1","1",600,600,"triangular",1.95231666666667,"Which shift(s) under 7 hours long starts before B starts, and ends after X ends?","duration+contained","8","FALSE",-0.25,0,0,3,0,"F,J,N",2.379,"11111"
"1MD0B","SGC4A","winter22","sona","asynch","item_nondiscriminant","1","1","1","1","1",600,600,"triangular",2.0866,"Which shift(s) begins before J begins and ends during B?","starttime+before+endtime+during","9","FALSE",-0.25,0,0,3,0,"C,G,H",7.929,"11111"
"1MD0B","SGC4A","winter22","sona","asynch","item_test","1","1","1","1","1",600,600,"triangular",2.68166666666667,"Which shift(s) end at the same time as F?","ends","10","FALSE",-0.166666666666667,0,0,1,0,"B,F",35.574,"11111"
"1MD0B","SGC4A","winter22","sona","asynch","item_test","1","1","1","1","1",600,600,"triangular",2.751,"Which shift(s) start at 12pm?","starttime","11","FALSE",-0.166666666666667,0,0,2,0,"K,O",4.037,"11111"
"1MD0B","SGC4A","winter22","sona","asynch","item_test","1","1","1","1","1",600,600,"triangular",2.77483333333333,"Which shift(s) start at the same time as F?","starts","12","FALSE",-0.0833333333333333,0,0,1,0,"J",1.298,"11111"
"1MD0B","SGC4A","winter22","sona","asynch","item_nondiscriminant","1","1","1","1","1",600,600,"triangular",2.80028333333333,"Which 2 shifts end when Z begins?","meets","13","FALSE",0,0,0,0,1,"",1.403,"11111"
"1MD0B","SGC4A","winter22","sona","asynch","item_test","1","1","1","1","1",600,600,"triangular",2.83641666666667,"Which shift(s) end at 3pm?","endtime","14","FALSE",-0.0833333333333333,0,0,1,0,"O",2.044,"11111"
"1MD0B","SGC4A","winter22","sona","asynch","item_test","1","1","1","1","1",600,600,"triangular",2.86046666666667,"Coffee breaks happen halfway through a shift. </br>Which shifts share a break at 2pm?","midpoint","15","FALSE",-0.0833333333333333,0,0,1,0,"B",1.319,"11111"
"33MKE","SGC4A","winter22","sona","asynch","item_test","1","1","1","1","1",600,600,"triangular",0.964883333333333,"Which shift(s) start at 11 am?","starttime","1","FALSE",-1,0,1,0,0,"A",22.351,"11111"
"33MKE","SGC4A","winter22","sona","asynch","item_test","1","1","1","1","1",600,600,"triangular",1.05543333333333,"Which shift(s) start at the same time as D?","starts","2","FALSE",-1,0,1,0,0,"E",5.326,"11111"
"33MKE","SGC4A","winter22","sona","asynch","item_test","1","1","1","1","1",600,600,"triangular",1.61868333333333,"Which shift(s) begin when C ends?","meets","3","FALSE",-0.0833333333333333,0,0,1,0,"K",33.625,"11111"
"33MKE","SGC4A","winter22","sona","asynch","item_test","1","1","1","1","1",600,600,"triangular",2.35136666666667,"Which shift(s) end at 4 pm?","endtime","4","FALSE",-0.0833333333333333,0,0,1,0,"K",43.835,"11111"
"33MKE","SGC4A","winter22","sona","asynch","item_test","1","1","1","1","1",600,600,"triangular",2.65105,"Coffee breaks happen halfway through a shift.</br> Which shift(s) share a break with I?","midpoint","5","TRUE",1,1,0,0,0,"O",17.857,"11111"
"33MKE","SGC4A","winter22","sona","asynch","item_nondiscriminant","1","1","1","1","1",600,600,"triangular",3.7607,"Which shift(s) are six hours long?","duration","6","FALSE",-0.0833333333333333,0,0,1,0,"F",63.38,"11111"
"33MKE","SGC4A","winter22","sona","asynch","item_test","1","1","1","1","1",600,600,"triangular",4.20003333333333,"Which 2 shifts less than 5 hours long start at the same time?","duration+starts","7","FALSE",0.416666666666667,1,0,1,0,"K,X",25.834,"11111"
"33MKE","SGC4A","winter22","sona","asynch","item_test","1","1","1","1","1",600,600,"triangular",4.64921666666667,"Which shift(s) under 7 hours long starts before B starts, and ends after X ends?","duration+contained","8","FALSE",-1,0,1,0,0,"E",26.845,"11111"
"33MKE","SGC4A","winter22","sona","asynch","item_nondiscriminant","1","1","1","1","1",600,600,"triangular",4.76503333333333,"Which shift(s) begins before J begins and ends during B?","starttime+before+endtime+during","9","TRUE",0,1,1,0,0,"I",6.789,"11111"
"33MKE","SGC4A","winter22","sona","asynch","item_test","1","1","1","1","1",600,600,"triangular",4.98816666666667,"Which shift(s) end at the same time as F?","ends","10","FALSE",-0.0833333333333333,0,0,1,0,"B",13.211,"11111"
"33MKE","SGC4A","winter22","sona","asynch","item_test","1","1","1","1","1",600,600,"triangular",5.234,"Which shift(s) start at 12pm?","starttime","11","FALSE",-0.583333333333333,0,1,1,0,"E,F",14.657,"11111"
"33MKE","SGC4A","winter22","sona","asynch","item_test","1","1","1","1","1",600,600,"triangular",5.34463333333333,"Which shift(s) start at the same time as F?","starts","12","FALSE",-1,0,1,0,0,"B",6.463,"11111"
"33MKE","SGC4A","winter22","sona","asynch","item_nondiscriminant","1","1","1","1","1",600,600,"triangular",6.20536666666667,"Which 2 shifts end when Z begins?","meets","13","FALSE",-0.166666666666667,0,0,2,0,"I,J",51.543,"11111"
"33MKE","SGC4A","winter22","sona","asynch","item_test","1","1","1","1","1",600,600,"triangular",6.45441666666667,"Which shift(s) end at 3pm?","endtime","14","FALSE",-0.0833333333333333,0,0,1,0,"G",14.841,"11111"
"33MKE","SGC4A","winter22","sona","asynch","item_test","1","1","1","1","1",600,600,"triangular",6.8597,"Coffee breaks happen halfway through a shift. </br>Which shifts share a break at 2pm?","midpoint","15","FALSE",-0.166666666666667,0,0,2,0,"C,G",24.216,"11111"
"NSFVM","SGC4A","winter22","sona","asynch","item_test","1","1","1","1","1",600,600,"triangular",2.94018333333333,"Which shift(s) start at 11 am?","starttime","1","FALSE",-1,0,1,0,0,"A",26.731,"11111"
"NSFVM","SGC4A","winter22","sona","asynch","item_test","1","1","1","1","1",600,600,"triangular",3.23075,"Which shift(s) start at the same time as D?","starts","2","FALSE",-1,0,1,0,0,"E",17.327,"11111"
"NSFVM","SGC4A","winter22","sona","asynch","item_test","1","1","1","1","1",600,600,"triangular",3.97038333333333,"Which shift(s) begin when C ends?","meets","3","FALSE",-0.25,0,0,2,0,"A,U,B",44.28,"11111"
"NSFVM","SGC4A","winter22","sona","asynch","item_test","1","1","1","1","1",600,600,"triangular",4.12178333333333,"Which shift(s) end at 4 pm?","endtime","4","FALSE",-0.166666666666667,0,0,2,0,"D,E",8.979,"11111"
"NSFVM","SGC4A","winter22","sona","asynch","item_test","1","1","1","1","1",600,600,"triangular",4.4031,"Coffee breaks happen halfway through a shift.</br> Which shift(s) share a break with I?","midpoint","5","FALSE",0,0,0,0,1,"",16.782,"11111"
"NSFVM","SGC4A","winter22","sona","asynch","item_nondiscriminant","1","1","1","1","1",600,600,"triangular",5.16136666666667,"Which shift(s) are six hours long?","duration","6","FALSE",0,0,0,0,1,"",37.959,"11111"
"NSFVM","SGC4A","winter22","sona","asynch","item_test","1","1","1","1","1",600,600,"triangular",5.83595,"Which 2 shifts less than 5 hours long start at the same time?","duration+starts","7","FALSE",-1,0,2,0,0,"B,F",40.374,"11111"
"NSFVM","SGC4A","winter22","sona","asynch","item_test","1","1","1","1","1",600,600,"triangular",6.23066666666667,"Which shift(s) under 7 hours long starts before B starts, and ends after X ends?","duration+contained","8","FALSE",0.916666666666667,1,0,1,0,"C,G",23.582,"11111"
"NSFVM","SGC4A","winter22","sona","asynch","item_nondiscriminant","1","1","1","1","1",600,600,"triangular",6.40305,"Which shift(s) begins before J begins and ends during B?","starttime+before+endtime+during","9","FALSE",-0.0833333333333333,1,1,1,0,"E,I",10.246,"11111"
"NSFVM","SGC4A","winter22","sona","asynch","item_test","1","1","1","1","1",600,600,"triangular",6.78131666666667,"Which shift(s) end at the same time as F?","ends","10","FALSE",-0.0833333333333333,0,0,1,0,"B",22.594,"11111"
"NSFVM","SGC4A","winter22","sona","asynch","item_test","1","1","1","1","1",600,600,"triangular",6.90993333333333,"Which shift(s) start at 12pm?","starttime","11","FALSE",-1,0,2,0,0,"B,F",7.618,"11111"
"NSFVM","SGC4A","winter22","sona","asynch","item_test","1","1","1","1","1",600,600,"triangular",7.01998333333333,"Which shift(s) start at the same time as F?","starts","12","FALSE",-1,0,1,0,0,"B",6.5,"11111"
"NSFVM","SGC4A","winter22","sona","asynch","item_nondiscriminant","1","1","1","1","1",600,600,"triangular",8.0769,"Which 2 shifts end when Z begins?","meets","13","FALSE",-0.166666666666667,0,0,2,0,"D,N",63.316,"11111"
"NSFVM","SGC4A","winter22","sona","asynch","item_test","1","1","1","1","1",600,600,"triangular",11.5359833333333,"Which shift(s) end at 3pm?","endtime","14","FALSE",0,0,0,0,1,"",207.233,"11111"
"NSFVM","SGC4A","winter22","sona","asynch","item_test","1","1","1","1","1",600,600,"triangular",12.2335166666667,"Coffee breaks happen halfway through a shift. </br>Which shifts share a break at 2pm?","midpoint","15","FALSE",-0.666666666666667,0,1,2,0,"E,I,J",41.559,"11111"
"AAGHE","SGC4A","winter22","sona","asynch","item_test","1","1","1","1","1",600,600,"triangular",0.620166666666667,"Which shift(s) start at 11 am?","starttime","1","FALSE",-1,0,1,0,0,"A",9.436,"11111"
"AAGHE","SGC4A","winter22","sona","asynch","item_test","1","1","1","1","1",600,600,"triangular",0.811283333333333,"Which shift(s) start at the same time as D?","starts","2","FALSE",-1,0,1,0,0,"E",11.361,"11111"
"AAGHE","SGC4A","winter22","sona","asynch","item_test","1","1","1","1","1",600,600,"triangular",1.06025,"Which shift(s) begin when C ends?","meets","3","FALSE",-1,0,1,0,0,"Z",14.83,"11111"
"AAGHE","SGC4A","winter22","sona","asynch","item_test","1","1","1","1","1",600,600,"triangular",1.11658333333333,"Which shift(s) end at 4 pm?","endtime","4","FALSE",-1,0,1,0,0,"U",3.283,"11111"
"AAGHE","SGC4A","winter22","sona","asynch","item_test","1","1","1","1","1",600,600,"triangular",1.14291666666667,"Coffee breaks happen halfway through a shift.</br> Which shift(s) share a break with I?","midpoint","5","FALSE",-0.0833333333333333,0,0,1,0,"K",1.479,"11111"
"AAGHE","SGC4A","winter22","sona","asynch","item_nondiscriminant","1","1","1","1","1",600,600,"triangular",1.48723333333333,"Which shift(s) are six hours long?","duration","6","FALSE",-0.166666666666667,0,0,2,0,"H,N",16.861,"11111"
"AAGHE","SGC4A","winter22","sona","asynch","item_test","1","1","1","1","1",600,600,"triangular",1.65671666666667,"Which 2 shifts less than 5 hours long start at the same time?","duration+starts","7","FALSE",-0.166666666666667,0,0,2,0,"H,I",10.069,"11111"
"AAGHE","SGC4A","winter22","sona","asynch","item_test","1","1","1","1","1",600,600,"triangular",1.67991666666667,"Which shift(s) under 7 hours long starts before B starts, and ends after X ends?","duration+contained","8","FALSE",-0.0833333333333333,0,0,1,0,"K",1.29,"11111"
