"subject","study","term","pool","mode","block","explicit","impasse","grid","mark","ixn","gwidth","gheight","graph","time_elapsed_m","question","relation","q","correct","discriminant","tri_score","orth_score","other_score","blank_score","answer","rt_s","condition"
"D33FX","SGC4A","winter22","sona","asynch","item_test","1","1","1","1","1",600,600,"triangular",1.72018333333333,"Which shift(s) start at 11 am?","starttime","1","FALSE",-1,0,1,0,0,"A",26.056,"11111"
"D33FX","SGC4A","winter22","sona","asynch","item_test","1","1","1","1","1",600,600,"triangular",1.96706666666667,"Which shift(s) start at the same time as D?","starts","2","FALSE",-1,0,1,0,0,"E",14.701,"11111"
"D33FX","SGC4A","winter22","sona","asynch","item_test","1","1","1","1","1",600,600,"triangular",2.4295,"Which shift(s) begin when C ends?","meets","3","FALSE",-0.0833333333333333,0,0,1,0,"U",27.529,"11111"
"D33FX","SGC4A","winter22","sona","asynch","item_test","1","1","1","1","1",600,600,"triangular",2.71618333333333,"Which shift(s) end at 4 pm?","endtime","4","FALSE",-0.166666666666667,0,0,2,0,"D,E",16.877,"11111"
"D33FX","SGC4A","winter22","sona","asynch","item_test","1","1","1","1","1",600,600,"triangular",3.20221666666667,"Coffee breaks happen halfway through a shift.</br> Which shift(s) share a break with I?","midpoint","5","TRUE",1,1,0,0,0,"O",29.058,"11111"
"D33FX","SGC4A","winter22","sona","asynch","item_nondiscriminant","1","1","1","1","1",600,600,"triangular",5.54001666666667,"Which shift(s) are six hours long?","duration","6","TRUE",0,2,2,0,0,"E,G",133.274,"11111"
"D33FX","SGC4A","winter22","sona","asynch","item_test","1","1","1","1","1",600,600,"triangular",6.43673333333333,"Which 2 shifts less than 5 hours long start at the same time?","duration+starts","7","FALSE",-1,0,2,0,0,"B,F",53.385,"11111"
"D33FX","SGC4A","winter22","sona","asynch","item_test","1","1","1","1","1",600,600,"triangular",6.89733333333333,"Which shift(s) under 7 hours long starts before B starts, and ends after X ends?","duration+contained","8","FALSE",-0.166666666666667,0,0,2,0,"I,J",27.522,"11111"
"D33FX","SGC4A","winter22","sona","asynch","item_nondiscriminant","1","1","1","1","1",600,600,"triangular",7.60165,"Which shift(s) begins before J begins and ends during B?","starttime+before+endtime+during","9","TRUE",0,1,1,0,0,"I",42.061,"11111"
"D33FX","SGC4A","winter22","sona","asynch","item_test","1","1","1","1","1",600,600,"triangular",7.78321666666667,"Which shift(s) end at the same time as F?","ends","10","FALSE",-0.0833333333333333,0,0,1,0,"B",10.775,"11111"
"D33FX","SGC4A","winter22","sona","asynch","item_test","1","1","1","1","1",600,600,"triangular",7.96601666666667,"Which shift(s) start at 12pm?","starttime","11","FALSE",-1,0,2,0,0,"B,F",10.862,"11111"
"D33FX","SGC4A","winter22","sona","asynch","item_test","1","1","1","1","1",600,600,"triangular",8.11086666666667,"Which shift(s) start at the same time as F?","starts","12","FALSE",-1,0,1,0,0,"B",8.57,"11111"
"D33FX","SGC4A","winter22","sona","asynch","item_nondiscriminant","1","1","1","1","1",600,600,"triangular",9.45103333333333,"Which 2 shifts end when Z begins?","meets","13","FALSE",-0.166666666666667,0,0,2,0,"H,N",80.304,"11111"
"D33FX","SGC4A","winter22","sona","asynch","item_test","1","1","1","1","1",600,600,"triangular",9.57143333333333,"Which shift(s) end at 3pm?","endtime","14","TRUE",1,1,0,0,0,"X",6.819,"11111"
"D33FX","SGC4A","winter22","sona","asynch","item_test","1","1","1","1","1",600,600,"triangular",9.84101666666667,"Coffee breaks happen halfway through a shift. </br>Which shifts share a break at 2pm?","midpoint","15","FALSE",-1,0,2,0,0,"E,F",16.062,"11111"
"L9124","SGC4A","winter22","sona","asynch","item_test","1","1","1","1","1",600,600,"triangular",19.51925,"Which shift(s) start at 11 am?","starttime","1","FALSE",-1,0,1,0,0,"A",17.517,"11111"
"L9124","SGC4A","winter22","sona","asynch","item_test","1","1","1","1","1",600,600,"triangular",19.6803,"Which shift(s) start at the same time as D?","starts","2","FALSE",-1,0,1,0,0,"E",9.568,"11111"
"L9124","SGC4A","winter22","sona","asynch","item_test","1","1","1","1","1",600,600,"triangular",19.7771166666667,"Which shift(s) begin when C ends?","meets","3","FALSE",-0.0833333333333333,0,0,0,0,"A",5.706,"11111"
