"subject","study","condition","session","exp_id","sona_id","pool","mode","attn_check","explanation","effort","difficulty","confidence","enjoyment","other","age","country","language","schoolyear","major","gender","disability","browser","width","height","os","starttime","status","term","violations","absolute_score","discriminant_score","tri_score","orth_score","other_score","blank_score","totaltime_m"
"BH8G3","SGC4A","11111","wi22sona","2218","34293","sona","asynch","TRUE","find 12pm on x axis and go up the pyramid","I tried my best on each question",3,4,4,"",20,"United States","English","Third","Social Sciences (incl. CogSci)","Female","","chrome",1536,913,"Windows 10","2022-03-06T22:18:55.614Z","success","winter22",2,0,-12,0,15,0,0,7.10468333333333
"KNNML","SGC4A","11111","wi22sona","2218","41117","sona","asynch","TRUE","you look at which letters are on that time.","I tried my best on each question",3,3,4,"",21,"United States","X-Other","Third","Humanities","Female","no","chrome",1440,696,"Mac OS","2022-03-09T03:58:09.226Z","success","winter22",1,1,-5,1,7,11,1,11.9870166666667
"RPP39","SGC4A","11111","wi22sona","2218","43084","sona","asynch","TRUE","By finding the points that have x equal to 12 pm","I tried my best on most questions",4,3,3,"",20,"China","Mandarin","First","Social Sciences (incl. CogSci)","Female","","chrome",1280,721,"Mac OS","2022-03-09T05:59:16.663Z","success","winter22",1,2,-4,4,8,11,0,5.01208333333333
"L8U24","SGC4A","11111","wi22sona","2218","37134","sona","asynch","TRUE","I look at the x axis and follow it straight up above the number 12 to get B and F
","I tried my best on each question",2,4,3,"",21,"USA","English","Fourth","Biomedical & Health Sciences","Male","","chrome",1440,746,"Mac OS","2022-03-06T19:55:11.215Z","success","winter22",1.5,0,-12,0,15,0,0,9.7209
"K7YBG","SGC4A","11111","wi22sona","2218","43294","sona","asynch","TRUE","I and J end shift b and f start it","I started out trying hard, but gave up at some point",3,2,2,"",19,"United States","English","First","Math or Computer Sciences","Male","","chrome",1536,754,"Windows 10","2022-03-08T22:05:04.188Z","success","winter22",1.5,1,-7.25,1,10,3,0,8.53028333333333
"JEWNV","SGC4A","11111","wi22sona","2218","40037","sona","asynch","TRUE","Follow the number 12pm and look dots on top of it ","I tried my best on most questions",2,5,3,"",20,"Mexico","English","Third","Biomedical & Health Sciences","Male","none","chrome",1440,821,"Mac OS","2022-03-07T04:04:35.918Z","success","winter22",1.5,0,-11.0833333333333,0,13,1,0,11.22505
"SD4VK","SGC4A","11111","wi22sona","2218","43116","sona","asynch","TRUE","Look up on the y-axis.","I started out trying hard, but gave up at some point",4,2,3,"Make it more engaging. ",19,"USA","English","First","Social Sciences (incl. CogSci)","Male","No","chrome",1440,789,"Mac OS","2022-03-09T03:22:39.490Z","success","winter22",1,1,-4.5,2,6,11,0,5.51765
"RTJF6","SGC4A","11111","wi22sona","2218","33856","sona","asynch","TRUE","find any points that share the same x as 12pm","I tried my best on each question",3,5,3,"",21,"Brazil","X-Other","Third","Social Sciences (incl. CogSci)","Female","No","chrome",1440,789,"Mac OS","2022-03-09T05:23:49.279Z","success","winter22",2,0,-12,0,15,0,0,6.78733333333333
"L5O4P","SGC4A","11111","wi22sona","2218","34425","sona","asynch","TRUE","Look at the X axis","I started out trying hard, but gave up at some point",5,3,1,"Difficult",21,"USA","English","Fourth","Social Sciences (incl. CogSci)","Male","none","chrome",2558,1369,"Windows 10","2022-03-07T03:47:31.754Z","success","winter22",3.5,1,-3.5,3,5,16,0,5.51533333333333
"C7R9T","SGC4A","11111","wi22sona","2218","38498","sona","asynch","TRUE","2 shifts that start at 12pm","I tried my best on each question",2,5,4,"",21,"United States","X-Other","Third","Social Sciences (incl. CogSci)","Male","","chrome",1440,744,"Mac OS","2022-03-08T22:31:24.987Z","success","winter22",1,0,-11.1666666666667,0,14,2,1,8.36971666666667
"D33FX","SGC4A","11111","wi22sona","2218","39771","sona","asynch","TRUE","I was viewing the schedule wrong because of how I was viewing the triangle and lines, but at 12pm there seems to be a break for J ","I tried my best on each question",4,2,5,"it was a very interesting task!",20,"United States","Spanish","Third","Math or Computer Sciences","Female","n/a","chrome",1440,789,"Mac OS","2022-03-09T00:15:38.488Z","success","winter22",1,2,-4.5,2,9,6,0,13.83765
"1S97U","SGC4A","11111","wi22sona","2218","40238","sona","asynch","TRUE","Find the 12pm dash on the x-axis and follow it up. Whichever dots are on that vertical line are shifts beginning at 12pm ","I tried my best on each question",3,4,4,"",19,"United States","English","Second","Social Sciences (incl. CogSci)","Female","No","chrome",1366,689,"Mac OS","2022-03-09T02:14:03.444Z","success","winter22",1,0,-12,0,15,0,0,19.94465
"GXF2S","SGC4A","11111","wi22sona","2218","33035","sona","asynch","TRUE","Whichever events are lined up above 12pm start at 12pm","I tried my best on each question",4,4,5,"The diagonal lines connecting all the events leave the graph a little hard to see and make sense of",20,"U.S.A.","English","Third","Social Sciences (incl. CogSci)","Male","N/A","chrome",1920,937,"Windows 10","2022-03-09T05:37:40.455Z","success","winter22",1,0,-12,0,15,0,0,8.8445
"0YMRZ","SGC4A","11111","wi22sona","2217","34862","sona","asynch","TRUE","By looking at the duration time.","I tried my best on most questions",4,3,3,"",21,"USA","Spanish","Third","Social Sciences (incl. CogSci)","Female","","chrome",1440,789,"Mac OS","2022-03-09T21:58:50.044Z","success","winter22",2,2,-3.16666666666667,3,6,7,1,8.03216666666667
"RO5L8","SGC4A","11111","wi22sona","2218","41605","sona","asynch","TRUE","Look at the x axis and anything that is has the x coordinate of 12PM starts at 12","I tried my best on each question",4,3,3,"",19,"United States","X-Other","Second","Biomedical & Health Sciences","Female","No","chrome",1440,691,"Mac OS","2022-03-07T05:48:58.352Z","success","winter22",1,0,-11.5,0,14,0,0,13.5490333333333
"0J5TD","SGC4A","11111","wi22sona","2218","40027","sona","asynch","TRUE","Look at the x-axis for 12pm, visualize vertical line at 12pm, any dots on that line start at 12pm","I tried my best on each question",3,4,3,"Stimulating",22,"United States","English","Fourth","Social Sciences (incl. CogSci)","Male","no","chrome",1920,969,"Windows 10","2022-03-08T21:16:16.959Z","success","winter22",2.5,0,-11.1666666666667,0,14,2,0,12.26
"V73EP","SGC4A","11111","wi22sona","2218","42953","sona","asynch","TRUE","Based on where the dot is graphed you notice that if it is placed on the 12pm x axis","I tried my best on most questions",4,3,3,"It is a bit confusing because of the way the graph is",19,"United States","English","First","Biomedical & Health Sciences","Female","n/a","chrome",1439,715,"Mac OS","2022-03-08T07:31:08.075Z","success","winter22",1.5,1,-6.41666666666667,2,10,4,0,13.8665166666667
"5EA7J","SGC4A","11111","wi22sona","2218","40278","sona","asynch","TRUE","To determine what event(s) start at 12, you must look at the x-axis and see what shifts lie at 12 PM. ","I tried my best on each question",2,5,3,"",18,"USA","X-Other","First","Biomedical & Health Sciences","Female","No","chrome",1440,821,"Mac OS","2022-03-09T03:03:37.934Z","success","winter22",2,0,-10.25,0,13,2,0,15.89335
"B97Q1","SGC4A","11111","wi22sona","2218","43305","sona","asynch","FALSE","Whatever dot is directly above 12pm on the x axis
","I tried my best on each question",4,3,4,"NA",18,"USA","English","First","Humanities","Male","NO","chrome",1434,723,"Mac OS","2022-03-08T22:23:46.990Z","success","winter22",1,4,-1.58333333333333,5,8,1,0,5.56106666666667
"0MDW3","SGC4A","11111","wi22sona","2218","32841","sona","asynch","TRUE","Find 12 PM at the x-coordinate and go straight up to find if there are any dots.","I tried my best on each question",2,4,4,"N/A",22,"South Korea","Korean","Fourth","Natural Sciences","Male","No","chrome",1440,821,"Mac OS","2022-03-09T03:16:28.632Z","success","winter22",2.5,0,-11.0833333333333,0,14,1,0,15.0404666666667
"OURVT","SGC4A","11111","wi22sona","2218","32704","sona","asynch","TRUE","Look at the x-axis and see which events are on 12 PM.","I tried my best on each question",1,5,4,"",21,"United States","X-Other","Fourth","Social Sciences (incl. CogSci)","Male","","chrome",1920,1057,"Windows 10","2022-03-08T23:07:50.721Z","success","winter22",1,0,-11.0833333333333,0,14,1,0,5.87963333333333
