"subject","study","term","pool","mode","block","explicit","impasse","grid","mark","ixn","gwidth","gheight","graph","time_elapsed_m","question","relation","q","correct","discriminant","tri_score","orth_score","other_score","blank_score","answer","rt_s","condition"
"89AL6","SGC4B","winter22","sona","asynch","item_scaffold","1","1","1","2","",600,600,"triangular",1.77885,"Which shift(s) start at 11 am?","starttime","1","FALSE",-1,0,1,0,0,"A",13.123,"1112"
"89AL6","SGC4B","winter22","sona","asynch","item_scaffold","1","1","1","2","",600,600,"triangular",1.97521666666667,"Which shift(s) start at the same time as D?","starts","2","FALSE",-1,0,1,0,0,"E",11.674,"1112"
"89AL6","SGC4B","winter22","sona","asynch","item_scaffold","1","1","1","2","",600,600,"triangular",3.3019,"Which shift(s) begin when C ends?","meets","3","FALSE",-1,0,1,0,0,"Z",79.479,"1112"
"89AL6","SGC4B","winter22","sona","asynch","item_scaffold","1","1","1","2","",600,600,"triangular",3.49918333333333,"Which shift(s) end at 4 pm?","endtime","4","FALSE",-0.166666666666667,0,0,2,0,"D,E",11.208,"1112"
"89AL6","SGC4B","winter22","sona","asynch","item_scaffold","1","1","1","2","",600,600,"triangular",4.09051666666667,"Coffee breaks happen halfway through a shift.</br> Which shift(s) share a break with I?","midpoint","5","TRUE",1,1,0,0,0,"O",35.366,"1112"
"89AL6","SGC4B","winter22","sona","asynch","item_nondiscriminant","1","1","1","2","",600,600,"triangular",4.26968333333333,"Which shift(s) are six hours long?","duration","6","TRUE",0,2,2,0,0,"E,G",7.005,"1112"
"89AL6","SGC4B","winter22","sona","asynch","item_test","1","1","1","2","",600,600,"triangular",4.7344,"Which 2 shifts less than 5 hours long start at the same time?","duration+starts","7","FALSE",-0.583333333333333,0,1,1,0,"F,Z",27.774,"1112"
"89AL6","SGC4B","winter22","sona","asynch","item_test","1","1","1","2","",600,600,"triangular",5.27025,"Which shift(s) under 7 hours long starts before B starts, and ends after X ends?","duration+contained","8","FALSE",-0.166666666666667,0,0,2,0,"J,M",32.04,"1112"
"89AL6","SGC4B","winter22","sona","asynch","item_nondiscriminant","1","1","1","2","",600,600,"triangular",5.43801666666667,"Which shift(s) begins before J begins and ends during B?","starttime+before+endtime+during","9","TRUE",0,1,1,0,0,"I",9.947,"1112"
"89AL6","SGC4B","winter22","sona","asynch","item_test","1","1","1","2","",600,600,"triangular",5.63966666666667,"Which shift(s) end at the same time as F?","ends","10","FALSE",-0.0833333333333333,0,0,1,0,"J",11.989,"1112"
"89AL6","SGC4B","winter22","sona","asynch","item_test","1","1","1","2","",600,600,"triangular",5.78525,"Which shift(s) start at 12pm?","starttime","11","FALSE",-1,0,2,0,0,"B,F",8.626,"1112"
"89AL6","SGC4B","winter22","sona","asynch","item_test","1","1","1","2","",600,600,"triangular",5.89803333333333,"Which shift(s) start at the same time as F?","starts","12","FALSE",-1,0,1,0,0,"B",6.65,"1112"
"89AL6","SGC4B","winter22","sona","asynch","item_nondiscriminant","1","1","1","2","",600,600,"triangular",6.65831666666667,"Which 2 shifts end when Z begins?","meets","13","FALSE",-0.166666666666667,0,0,2,0,"D,N",45.503,"1112"
"89AL6","SGC4B","winter22","sona","asynch","item_test","1","1","1","2","",600,600,"triangular",7.45475,"Which shift(s) end at 3pm?","endtime","14","FALSE",-1.08333333333333,0,1,1,0,"B,F",47.658,"1112"
"89AL6","SGC4B","winter22","sona","asynch","item_test","1","1","1","2","",600,600,"triangular",7.52196666666667,"Coffee breaks happen halfway through a shift. </br>Which shifts share a break at 2pm?","midpoint","15","FALSE",-0.166666666666667,0,0,2,0,"H,I",3.91,"1112"
"PY07T","SGC4B","winter22","sona","asynch","item_scaffold","1","1","1","3","",600,600,"triangular",0.55395,"Which shift(s) start at 11 am?","starttime","1","FALSE",-0.0833333333333333,0,0,1,0,"Z",2.475,"1113"
"PY07T","SGC4B","winter22","sona","asynch","item_scaffold","1","1","1","3","",600,600,"triangular",0.590983333333333,"Which shift(s) start at the same time as D?","starts","2","TRUE",1,1,0,0,0,"K",2.091,"1113"
"PY07T","SGC4B","winter22","sona","asynch","item_scaffold","1","1","1","3","",600,600,"triangular",0.618883333333333,"Which shift(s) begin when C ends?","meets","3","TRUE",1,1,0,0,0,"F",1.563,"1113"
"PY07T","SGC4B","winter22","sona","asynch","item_scaffold","1","1","1","3","",600,600,"triangular",0.672766666666667,"Which shift(s) end at 4 pm?","endtime","4","FALSE",-0.25,0,0,3,0,"C,J,K",3.127,"1113"
"PY07T","SGC4B","winter22","sona","asynch","item_scaffold","1","1","1","3","",600,600,"triangular",0.727383333333333,"Coffee breaks happen halfway through a shift.</br> Which shift(s) share a break with I?","midpoint","5","FALSE",-1.16666666666667,0,1,1,0,"I,F,U",3.166,"1113"
"PY07T","SGC4B","winter22","sona","asynch","item_nondiscriminant","1","1","1","3","",600,600,"triangular",0.85425,"Which shift(s) are six hours long?","duration","6","FALSE",-0.25,1,1,3,0,"A,D,G,J",4.273,"1113"
"PY07T","SGC4B","winter22","sona","asynch","item_test","1","1","1","3","",600,600,"triangular",0.902816666666667,"Which 2 shifts less than 5 hours long start at the same time?","duration+starts","7","FALSE",-0.25,0,0,3,0,"H,K,N",2.802,"1113"
"PY07T","SGC4B","winter22","sona","asynch","item_test","1","1","1","3","",600,600,"triangular",0.963033333333333,"Which shift(s) under 7 hours long starts before B starts, and ends after X ends?","duration+contained","8","FALSE",-0.25,0,0,3,0,"H,I,O",3.502,"1113"
"PY07T","SGC4B","winter22","sona","asynch","item_nondiscriminant","1","1","1","3","",600,600,"triangular",1.03065,"Which shift(s) begins before J begins and ends during B?","starttime+before+endtime+during","9","FALSE",-0.333333333333333,0,0,4,0,"D,G,K,Z",3.947,"1113"
"PY07T","SGC4B","winter22","sona","asynch","item_test","1","1","1","3","",600,600,"triangular",1.1563,"Which shift(s) end at the same time as F?","ends","10","FALSE",-0.416666666666667,0,0,4,0,"A,F,K,L,Z",7.426,"1113"
"PY07T","SGC4B","winter22","sona","asynch","item_test","1","1","1","3","",600,600,"triangular",1.3218,"Which shift(s) start at 12pm?","starttime","11","FALSE",0.0833333333333334,1,0,5,0,"A,E,G,I,M,N",9.817,"1113"
"PY07T","SGC4B","winter22","sona","asynch","item_test","1","1","1","3","",600,600,"triangular",1.5648,"Which shift(s) start at the same time as F?","starts","12","FALSE",0.583333333333333,1,0,5,0,"A,G,H,I,J,Z",14.391,"1113"
"PY07T","SGC4B","winter22","sona","asynch","item_nondiscriminant","1","1","1","3","",600,600,"triangular",1.64138333333333,"Which 2 shifts end when Z begins?","meets","13","FALSE",0.25,1,0,3,0,"E,G,O,Z",4.481,"1113"
"PY07T","SGC4B","winter22","sona","asynch","item_test","1","1","1","3","",600,600,"triangular",1.74838333333333,"Which shift(s) end at 3pm?","endtime","14","FALSE",-0.333333333333333,0,0,4,0,"H,I,J,Z",6.224,"1113"
"PY07T","SGC4B","winter22","sona","asynch","item_test","1","1","1","3","",600,600,"triangular",1.8416,"Coffee breaks happen halfway through a shift. </br>Which shifts share a break at 2pm?","midpoint","15","FALSE",-0.25,0,0,3,0,"G,H,N",5.397,"1113"
"M2JR0","SGC4B","winter22","sona","asynch","item_scaffold","1","1","1","2","",600,600,"triangular",18.9988,"Which shift(s) start at 11 am?","starttime","1","FALSE",-1,0,1,0,0,"A",27.625,"1112"
"M2JR0","SGC4B","winter22","sona","asynch","item_scaffold","1","1","1","2","",600,600,"triangular",19.80685,"Which shift(s) start at the same time as D?","starts","2","FALSE",-1,0,1,0,0,"E",48.389,"1112"
"M2JR0","SGC4B","winter22","sona","asynch","item_scaffold","1","1","1","2","",600,600,"triangular",21.2396833333333,"Which shift(s) begin when C ends?","meets","3","FALSE",0.25,1,0,9,0,"X,J,H,F,K,D,U,E,G,B",85.89,"1112"
"M2JR0","SGC4B","winter22","sona","asynch","item_scaffold","1","1","1","2","",600,600,"triangular",22.3345,"Which shift(s) end at 4 pm?","endtime","4","FALSE",-1.08333333333333,0,1,1,0,"U,Z",65.445,"1112"
