"subject","study","condition","pretty_condition","session","exp_id","sona_id","pool","mode","attn_check","effort","difficulty","confidence","enjoyment","other","age","country","language","schoolyear","major","gender","disability","browser","width","height","os","starttime","status","term","violations","absolute_score","totaltime_m","reason"
"8CHN5","SGC4B","1112","arrow","wi22sona","2217","33715","sona","asynch","TRUE","I tried my best on each question",4,4,5,"I was confused about the instructions, because I remembered it saying that the shifts were from 8am-8pm, yet some seemed to go past 8pm. It made me think maybe I had remembered wrong, but it did make me think a little extra during the task. Otherwise, it was interesting. ",30,"United States","English","X-OTHER","Social Sciences (incl. CogSci)","Female","","chrome",1600,762,"Windows 10","2022-03-04T06:20:16.105Z","success","winter22",4,0,16.3757333333333,"exceeded-violations"
"M2JR0","SGC4B","1112","arrow","wi22sona","2218","42099","sona","asynch","TRUE","I tried my best on each question",1,4,4,"",21,"United States","English","Third","Humanities","Other-Not Listed","","chrome",1440,737,"Mac OS","2022-03-09T07:50:32.636Z","success","winter22",6,0,27.7925833333333,"exceeded-violations"
"W7QEN","SGC4B","1113","cross","wi22sona","2217","42664","sona","asynch","TRUE","I tried my best on each question",3,2,4,"",19,"United States","English","First","Math or Computer Sciences","Male","","chrome",1424,861,"Windows 10","2022-03-04T05:01:50.396Z","success","winter22",4,0,35.5269333333333,"exceeded-violations"
"WPZA6","SGC4B","1113","cross","wi22sona","2217","34010","sona","asynch","TRUE","I tried my best on each question",2,4,3,"",21,"United States","English","Third","Social Sciences (incl. CogSci)","Female","","chrome",1388,881,"Windows 10","2022-03-04T22:07:21.848Z","success","winter22",5,12,107.961716666667,"exceeded-violations"
"617NJ","SGC4B","1113","cross","wi22sona","2218","43342","sona","asynch","TRUE","I tried my best on most questions",1,5,4,"I think it can be useful to actual shift.",24,"Japan","X-Other","Third","Humanities","Male","","chrome",1440,764,"Mac OS","2022-03-09T21:37:12.062Z","success","winter22",6,11,13.7269333333333,"exceeded-violations"
"37JO2","SGC4B","1112","arrow","wi22sona","2217","35762","sona","asynch","TRUE","I started out trying hard, but gave up at some point",5,1,1,"I didn't have experience using this graph, so I wasn't sure how to use it properly. ",21,"USA","English","Third","Social Sciences (incl. CogSci)","Female","n/a","chrome",1920,969,"Windows 7","2022-03-03T18:54:53.324Z","success","winter22",4,1,21.0178833333333,"exceeded-violations"
"M5P86","SGC4B","1112","arrow","wi22sona","2217","41453","sona","asynch","TRUE","I tried my best on each question",3,2,4,"",20,"USA","English","Third","Social Sciences (incl. CogSci)","Female","","chrome",1920,1007,"Windows 10","2022-03-06T06:15:14.442Z","success","winter22",4,0,14.2807333333333,"exceeded-violations"
"DZQCP","SGC4B","1112","arrow","wi22sona","2217","29981","sona","asynch","TRUE","I tried my best on most questions",2,3,1,"",21,"United States","English","Fourth","Social Sciences (incl. CogSci)","Male","","chrome",1440,788,"Mac OS","2022-03-04T20:56:15.424Z","success","winter22",6.5,0,5.20438333333333,"exceeded-violations"
"7CU32","SGC4B","1112","arrow","wi22sona","2218","32000","sona","asynch","TRUE","I tried my best on most questions",4,2,1,"Try to the lines between the axis and the dots",20,"United States","X-Other","Third","Biomedical & Health Sciences","Male","no","chrome",1517,730,"Windows 10","2022-03-09T19:27:43.536Z","success","winter22",3.5,1,7.48895,"exceeded-violations"
"3M7BW","SGC4B","1112","arrow","wi22sona","2217","33593","sona","asynch","TRUE","I tried my best on most questions",3,3,2,"I had a hard time keeping track of which shifts had a break when.",20,"United States","English","Third","Social Sciences (incl. CogSci)","Female","","chrome",1536,722,"Windows 10","2022-03-04T02:43:02.271Z","success","winter22",4,0,27.01055,"exceeded-violations"
"UOFKX","SGC4B","1113","cross","wi22sona","2217","34010","sona","asynch","TRUE","I tried my best on each question",2,3,3,"",21,"United States","English","Third","Social Sciences (incl. CogSci)","Female","","chrome",1165,881,"Windows 10","2022-03-04T06:51:11.210Z","success","winter22",10,11,9.06776666666667,"exceeded-violations"
"RM7L0","SGC4B","1113","cross","wi22sona","2218","40346","sona","asynch","TRUE","I tried my best on each question",2,5,5,"It was pretty fun and I'm surprised I haven't seen this method used in real life.",18,"United States","English","First","Social Sciences (incl. CogSci)","Male","ADHD","chrome",1920,1057,"Windows 10","2022-03-09T21:23:16.916Z","success","winter22",4,11,8.31891666666667,"exceeded-violations"
"QYWHN","SGC4B","1113","cross","wi22sona","2218","43336","sona","asynch","TRUE","I tried my best on each question",4,3,4,"",21,"United States","Spanish","Fourth","Humanities","Female","N/A","chrome",1280,689,"Mac OS","2022-03-09T18:45:40.290Z","success","winter22",4,7,43.3480166666667,"exceeded-violations"
