"subject","study","condition","session","exp_id","sona_id","pool","mode","attn_check","effort","difficulty","confidence","enjoyment","other","age","country","language","schoolyear","major","gender","disability","browser","width","height","os","starttime","status","term","violations","totaltime_m","pretty_condition"
"L65ZP","SGC4B","1113","wi22sona","2217","31276","sona","asynch","TRUE","I tried my best on each question",2,3,5,"I enjoyed this experiment! I would love to read the results!",20,"USA","English","Third","Social Sciences (incl. CogSci)","Female","","chrome",1418,693,"Mac OS","2022-03-06T17:00:07.816Z","success","winter22",1,9.56605,"cross"
"X4TP8","SGC4B","1112","wi22sona","2218","40313","sona","asynch","TRUE","I tried my best on most questions",2,4,3,"",18,"China","Mandarin","First","Social Sciences (incl. CogSci)","Other-Not Listed","","chrome",1707,923,"Windows 10","2022-03-09T20:01:31.946Z","success","winter22",1.5,6.25385,"arrow"
"B4JZK","SGC4B","1112","wi22sona","2218","32593","sona","asynch","TRUE","I tried my best on most questions",4,3,4,"",21,"United States","Spanish","Third","Social Sciences (incl. CogSci)","Female","i wear glasses","chrome",1440,789,"Mac OS","2022-03-09T20:13:44.166Z","success","winter22",1,14.1734833333333,"arrow"
"FL4GS","SGC4B","1112","wi22sona","2218","41971","sona","asynch","TRUE","I tried my best on most questions",2,4,3,"",20,"United States","English","Second","Social Sciences (incl. CogSci)","Female","","chrome",1920,1089,"Windows 10","2022-03-09T20:06:37.090Z","success","winter22",1,4.22141666666667,"arrow"
"MQ4PF","SGC4B","1112","wi22sona","2217","38514","sona","asynch","TRUE","I tried my best on each question",4,3,2,"The grid, which I assume was a control, was quite distractive.",21,"South Korea","Korean","Second","Social Sciences (incl. CogSci)","Male","N/A - just a little sleepy","chrome",1536,714,"Windows 10","2022-03-03T21:47:17.432Z","success","winter22",3,20.8559333333333,"arrow"
"NLUQH","SGC4B","1113","wi22sona","2217","42949","sona","asynch","TRUE","I tried my best on each question",2,4,4,"",22,"United States","English","Third","Social Sciences (incl. CogSci)","Female","No","chrome",1440,739,"Mac OS","2022-03-04T06:33:37.111Z","success","winter22",3,12.9586833333333,"cross"
"B9KFN","SGC4B","1113","wi22sona","2217","33869","sona","asynch","TRUE","I tried my best on each question",1,5,2,"N/A",21,"United States","English","Fourth","Fine Arts","Male","N/A","chrome",1451,684,"Mac OS","2022-03-05T03:54:04.190Z","success","winter22",1,8.86553333333333,"cross"
"CSQRM","SGC4B","1113","wi22sona","2217","43111","sona","asynch","TRUE","I tried my best on most questions",4,4,2,"THE ONLY PART I COULDNT FIGURE OUT WAS THE BREAKS.",18,"United States","Spanish","First","Social Sciences (incl. CogSci)","Female","NO","chrome",1440,702,"Mac OS","2022-03-04T00:16:23.593Z","success","winter22",2,10.87225,"cross"
"1NO19","SGC4B","1112","wi22sona","2218","31099","sona","asynch","TRUE","I tried my best on each question",2,5,5,"",21,"United States","English","Fourth","Social Sciences (incl. CogSci)","Female","","chrome",1440,764,"Mac OS","2022-03-09T19:23:14.819Z","success","winter22",1,10.31265,"arrow"
"32HTL","SGC4B","1113","wi22sona","2217","43153","sona","asynch","TRUE","I tried my best on each question",4,3,2,"n/a",19,"United States","Spanish","Second","Natural Sciences","Female","n/a","chrome",1536,714,"Windows 10","2022-03-03T09:07:03.374Z","success","winter22",1.5,10.7539833333333,"cross"
"X93Z3","SGC4B","1113","wi22sona","2217","37797","sona","asynch","TRUE","I tried my best on each question",3,2,5,"I am really bad at comprehending graphs so it took me a while to understand what going on. Therefore I think I did a pretty bad job(almost all wrong) in the first part. But in the second part of the experiment, I slowly understand how to look at the graph correctly and enjoyed doing the questions. ",21,"Hong Kong ","Cantonese","Fourth","Humanities","Female","No. Other than really bad at mathematics. ","chrome",1440,821,"Mac OS","2022-03-04T04:18:02.295Z","success","winter22",2.5,21.9983666666667,"cross"
"M0PWZ","SGC4B","1113","wi22sona","2217","38908","sona","asynch","TRUE","I tried my best on each question",4,3,2,"",22,"United States","Mandarin","Fourth","Social Sciences (incl. CogSci)","Male","","chrome",1440,764,"Mac OS","2022-03-04T18:02:25.800Z","success","winter22",1,11.0844333333333,"cross"
"XL4NH","SGC4B","1113","wi22sona","2218","37816","sona","asynch","TRUE","I tried my best on most questions",4,4,4,"pretty good overall
",21,"USA","English","Third","Social Sciences (incl. CogSci)","Male","no","chrome",1920,961,"Windows 10","2022-03-09T21:41:49.330Z","success","winter22",1,11.4990666666667,"cross"
