"subject","study","term","pool","mode","block","explicit","impasse","grid","mark","ixn","gwidth","gheight","graph","time_elapsed_m","question","relation","q","correct","discriminant","tri_score","orth_score","other_score","blank_score","answer","rt_s","condition"
"P5TGP","SGC5A","winter22","sona","asynch","item_test","1","1","1","1","5",600,600,"triangular",1.10208333333333,"Which shift(s) start at 11 am?","starttime","1","FALSE",-0.0833333333333333,0,0,1,0,"A ",16.331,"11115"
"P5TGP","SGC5A","winter22","sona","asynch","item_test","1","1","1","1","5",600,600,"triangular",1.39671666666667,"Which shift(s) start at the same time as D?","starts","2","FALSE",-0.0833333333333333,0,0,1,0,"E ",17.567,"11115"
"P5TGP","SGC5A","winter22","sona","asynch","item_test","1","1","1","1","5",600,600,"triangular",1.77955,"Which shift(s) begin when C ends?","meets","3","FALSE",-0.0833333333333333,0,0,1,0,"Z ",22.824,"11115"
"P5TGP","SGC5A","winter22","sona","asynch","item_test","1","1","1","1","5",600,600,"triangular",1.8499,"Which shift(s) end at 4 pm?","endtime","4","FALSE",-0.0833333333333333,0,0,1,0,"K ",4.102,"11115"
"P5TGP","SGC5A","winter22","sona","asynch","item_test","1","1","1","1","5",600,600,"triangular",1.88646666666667,"Coffee breaks happen halfway through a shift.</br> Which shift(s) share a break with I?","midpoint","5","FALSE",-0.0833333333333333,0,0,1,0,"O ",2.098,"11115"
"P5TGP","SGC5A","winter22","sona","asynch","item_nondiscriminant","1","1","1","1","5",600,600,"triangular",2.04773333333333,"Which shift(s) are six hours long?","duration","6","FALSE",-0.166666666666667,0,0,2,0,"E ,G ",6.536,"11115"
"P5TGP","SGC5A","winter22","sona","asynch","item_test","1","1","1","1","5",600,600,"triangular",2.45413333333333,"Which 2 shifts less than 5 hours long start at the same time?","duration+starts","7","FALSE",-0.166666666666667,0,0,2,0,"B ,F ",24.062,"11115"
"P5TGP","SGC5A","winter22","sona","asynch","item_test","1","1","1","1","5",600,600,"triangular",2.57116666666667,"Which shift(s) under 7 hours long starts before B starts, and ends after X ends?","duration+contained","8","FALSE",-0.0833333333333333,0,0,1,0,"H ",6.926,"11115"
"P5TGP","SGC5A","winter22","sona","asynch","item_nondiscriminant","1","1","1","1","5",600,600,"triangular",2.76615,"Which shift(s) begins before J begins and ends during B?","starttime+before+endtime+during","9","FALSE",-0.0833333333333333,0,0,1,0,"I ",11.565,"11115"
"P5TGP","SGC5A","winter22","sona","asynch","item_test","1","1","1","1","5",600,600,"triangular",2.85755,"Which shift(s) end at the same time as F?","ends","10","FALSE",-0.0833333333333333,0,0,1,0,"O ",5.268,"11115"
"P5TGP","SGC5A","winter22","sona","asynch","item_test","1","1","1","1","5",600,600,"triangular",2.8986,"Which shift(s) start at 12pm?","starttime","11","FALSE",-0.0833333333333333,0,0,1,0,"E ",2.338,"11115"
"P5TGP","SGC5A","winter22","sona","asynch","item_test","1","1","1","1","5",600,600,"triangular",2.99553333333333,"Which shift(s) start at the same time as F?","starts","12","FALSE",-0.0833333333333333,0,0,1,0,"B ",5.712,"11115"
"P5TGP","SGC5A","winter22","sona","asynch","item_nondiscriminant","1","1","1","1","5",600,600,"triangular",3.06671666666667,"Which 2 shifts end when Z begins?","meets","13","FALSE",-0.0833333333333333,0,0,1,0,"J ",4.159,"11115"
"P5TGP","SGC5A","winter22","sona","asynch","item_test","1","1","1","1","5",600,600,"triangular",3.12495,"Which shift(s) end at 3pm?","endtime","14","FALSE",-0.0833333333333333,0,0,1,0,"C ",3.4,"11115"
"P5TGP","SGC5A","winter22","sona","asynch","item_test","1","1","1","1","5",600,600,"triangular",3.16455,"Coffee breaks happen halfway through a shift. </br>Which shifts share a break at 2pm?","midpoint","15","FALSE",-0.0833333333333333,0,0,1,0,"B ",2.265,"11115"
"MAFVW","SGC5A","winter22","sona","asynch","item_test","1","1","1","1","5",600,600,"triangular",2.42883333333333,"Which shift(s) start at 11 am?","starttime","1","FALSE",-0.0833333333333333,0,0,1,0,"A ",33.29,"11115"
"MAFVW","SGC5A","winter22","sona","asynch","item_test","1","1","1","1","5",600,600,"triangular",2.56403333333333,"Which shift(s) start at the same time as D?","starts","2","FALSE",-0.0833333333333333,0,0,1,0,"E ",8.02,"11115"
"MAFVW","SGC5A","winter22","sona","asynch","item_test","1","1","1","1","5",600,600,"triangular",2.9393,"Which shift(s) begin when C ends?","meets","3","FALSE",-0.0833333333333333,0,0,1,0,"Z ",22.439,"11115"
"MAFVW","SGC5A","winter22","sona","asynch","item_test","1","1","1","1","5",600,600,"triangular",3.6159,"Which shift(s) end at 4 pm?","endtime","4","FALSE",-0.0833333333333333,0,0,1,0,"U ",40.51,"11115"
"MAFVW","SGC5A","winter22","sona","asynch","item_test","1","1","1","1","5",600,600,"triangular",4.13058333333333,"Coffee breaks happen halfway through a shift.</br> Which shift(s) share a break with I?","midpoint","5","FALSE",-0.0833333333333333,0,0,1,0,"U ",30.799,"11115"
"MAFVW","SGC5A","winter22","sona","asynch","item_nondiscriminant","1","1","1","1","5",600,600,"triangular",4.35088333333333,"Which shift(s) are six hours long?","duration","6","FALSE",-0.166666666666667,0,0,2,0,"E ,G ",7.513,"11115"
"MAFVW","SGC5A","winter22","sona","asynch","item_test","1","1","1","1","5",600,600,"triangular",4.57405,"Which 2 shifts less than 5 hours long start at the same time?","duration+starts","7","FALSE",-0.166666666666667,0,0,2,0,"B ,F ",13.309,"11115"
"MAFVW","SGC5A","winter22","sona","asynch","item_test","1","1","1","1","5",600,600,"triangular",4.95141666666667,"Which shift(s) under 7 hours long starts before B starts, and ends after X ends?","duration+contained","8","FALSE",-0.0833333333333333,0,0,1,0,"E ",22.564,"11115"
"MAFVW","SGC5A","winter22","sona","asynch","item_nondiscriminant","1","1","1","1","5",600,600,"triangular",5.14426666666667,"Which shift(s) begins before J begins and ends during B?","starttime+before+endtime+during","9","FALSE",-0.0833333333333333,0,0,1,0,"I ",11.487,"11115"
"MAFVW","SGC5A","winter22","sona","asynch","item_test","1","1","1","1","5",600,600,"triangular",5.57141666666667,"Which shift(s) end at the same time as F?","ends","10","FALSE",0,0,0,0,1,"",25.553,"11115"
"MAFVW","SGC5A","winter22","sona","asynch","item_test","1","1","1","1","5",600,600,"triangular",5.90696666666667,"Which shift(s) start at 12pm?","starttime","11","FALSE",-0.166666666666667,0,0,2,0,"B ,F ",20.056,"11115"
"MAFVW","SGC5A","winter22","sona","asynch","item_test","1","1","1","1","5",600,600,"triangular",6.09583333333333,"Which shift(s) start at the same time as F?","starts","12","FALSE",-0.0833333333333333,0,0,1,0,"B ",11.253,"11115"
"MAFVW","SGC5A","winter22","sona","asynch","item_nondiscriminant","1","1","1","1","5",600,600,"triangular",6.43133333333333,"Which 2 shifts end when Z begins?","meets","13","FALSE",-0.166666666666667,0,0,2,0,"F ,X ",20.052,"11115"
"MAFVW","SGC5A","winter22","sona","asynch","item_test","1","1","1","1","5",600,600,"triangular",6.92113333333333,"Which shift(s) end at 3pm?","endtime","14","FALSE",-0.0833333333333333,0,0,1,0,"F ",29.31,"11115"
"MAFVW","SGC5A","winter22","sona","asynch","item_test","1","1","1","1","5",600,600,"triangular",7.90566666666667,"Coffee breaks happen halfway through a shift. </br>Which shifts share a break at 2pm?","midpoint","15","FALSE",-0.166666666666667,0,0,2,0,"E ,F ",58.996,"11115"
"AJO1Q","SGC5A","winter22","sona","asynch","item_test","1","1","1","1","5",600,600,"triangular",4.99875,"Which shift(s) start at 11 am?","starttime","1","FALSE",-0.0833333333333333,0,0,1,0,"A ",43.074,"11115"
"AJO1Q","SGC5A","winter22","sona","asynch","item_test","1","1","1","1","5",600,600,"triangular",5.28505,"Which shift(s) start at the same time as D?","starts","2","FALSE",-0.0833333333333333,0,0,1,0,"E ",16.803,"11115"
"AJO1Q","SGC5A","winter22","sona","asynch","item_test","1","1","1","1","5",600,600,"triangular",5.69806666666667,"Which shift(s) begin when C ends?","meets","3","FALSE",-0.0833333333333333,0,0,1,0,"Z ",24.514,"11115"
"AJO1Q","SGC5A","winter22","sona","asynch","item_test","1","1","1","1","5",600,600,"triangular",8.04101666666667,"Which shift(s) end at 4 pm?","endtime","4","FALSE",-0.0833333333333333,0,0,1,0,"U ",140.313,"11115"
"AJO1Q","SGC5A","winter22","sona","asynch","item_test","1","1","1","1","5",600,600,"triangular",10.62915,"Coffee breaks happen halfway through a shift.</br> Which shift(s) share a break with I?","midpoint","5","FALSE",-0.0833333333333333,0,0,1,0,"U ",154.998,"11115"
"AJO1Q","SGC5A","winter22","sona","asynch","item_nondiscriminant","1","1","1","1","5",600,600,"triangular",11.05425,"Which shift(s) are six hours long?","duration","6","FALSE",-0.166666666666667,0,0,2,0,"E ,G ",12.652,"11115"
