"subject","study","condition","pretty_condition","session","exp_id","sona_id","pool","mode","attn_check","explanation","effort","difficulty","confidence","enjoyment","other","age","country","language","schoolyear","major","gender","disability","browser","width","height","os","starttime","status","term","violations","absolute_score","totaltime_m"
"9Z01R","SGC5A","11115","point-click","wi22sona","2217","40287","sona","asynch","FALSE","By subtracting the number of hours to the point of time that is shown.","I tried my best on most questions",4,3,2,"",20,"United States","English","Third","Social Sciences (incl. CogSci)","Male","No","chrome",1440,703,"Mac OS","2022-03-08T04:38:20.041Z","success","winter22",2.5,0,16.7931833333333
"RD6JR","SGC5A","11115","point-click","wi22sona","2217","36415","sona","asynch","FALSE","I look at the 12pm spot on the x axis and look directly up, I see shifts B and F","I tried my best on each question",4,4,3,"The extra lines on the graph were confusing ",22,"USA","English","Fourth","Social Sciences (incl. CogSci)","Female","No ","chrome",1440,789,"Mac OS","2022-03-08T22:10:44.743Z","success","winter22",1,0,8.49143333333333
"KTUY1","SGC5A","11115","point-click","wi22sona","2217","36587","sona","asynch","FALSE","View which dots line up vertically at 12PM","I tried my best on each question",3,3,3,"",20,"U.S.","X-Other","Second","Social Sciences (incl. CogSci)","Female","No","chrome",1711,1186,"Windows 10","2022-03-08T01:56:05.422Z","success","winter22",1,0,5.57523333333333
"2W0WT","SGC5A","11115","point-click","wi22sona","2217","42012","sona","asynch","FALSE","looking at the x axis","I tried my best on each question",3,2,4,"",21,"USA","Spanish","Third","Social Sciences (incl. CogSci)","Female","","chrome",1536,905,"Windows 10","2022-03-07T21:44:06.110Z","success","winter22",3,0,8.77831666666667
"WBJQG","SGC5A","11115","point-click","wi22sona","2217","35436","sona","asynch","FALSE","It will change","I tried my best on most questions",3,1,3,"",20,"usa","English","Third","Humanities","Female","","chrome",1440,777,"Mac OS","2022-03-08T07:47:55.872Z","success","winter22",1,0,3.14773333333333
"0S724","SGC5A","11115","point-click","wi22sona","2217","42706","sona","asynch","FALSE","i look at 12 PM on the x axis and go up and whatever letter is in the line, i select","I tried my best on each question",3,3,3,"",19,"United States","English","First","Humanities","Female","","chrome",1440,731,"Mac OS","2022-03-07T21:32:33.089Z","success","winter22",1,0,7.67065
"DJ72H","SGC5A","11115","point-click","wi22sona","2217","33635","sona","asynch","FALSE","Go to the x value of 12 and look at the corresponding y values","I tried my best on each question",3,3,4,"",21,"United States","English","Fourth","Social Sciences (incl. CogSci)","Male","","chrome",1915,872,"Windows 10","2022-03-08T00:11:26.710Z","success","winter22",1,0,6.68038333333333
"R8SJJ","SGC5A","11115","point-click","wi22sona","2217","39420","sona","asynch","FALSE","go to 12 pm, drag cursor in a vertical lone mpving upwards, the dogs passed are the ones that start at 12pm","I tried my best on each question",2,2,4,"n/a",19,"US","English","Fourth","Biomedical & Health Sciences","Female","no","chrome",1680,971,"Mac OS","2022-03-08T19:04:14.470Z","success","winter22",1,0,9.32825
"YM960","SGC5A","11115","point-click","wi22sona","2217","43081","sona","asynch","FALSE","Look at what data points are along the 12 pm x axis","I tried my best on each question",4,3,3,"N/A",18,"United States of America","English","First","Biomedical & Health Sciences","Female","N/A","chrome",1440,730,"Mac OS","2022-03-09T00:24:36.466Z","success","winter22",1,0,4.96561666666667
"GXAV1","SGC5A","11115","point-click","wi22sona","2217","38608","sona","asynch","FALSE","go from 12pm on the x axis and work your way up on the graph","I tried my best on each question",2,5,2,"",21,"USA","English","Third","Biomedical & Health Sciences","Male","","chrome",1920,969,"Windows 10","2022-03-08T01:54:39.265Z","success","winter22",2,0,6.48005
