"rt","condition","q","explicit","impasse","grid","mark","ixn","question","graph","datafile","colorClick","gwidth","gheight","relation","block","time_elapsed","subject","study","session","pool","mode","exp_id","sona_id","source","correct","discriminant","tri_score","orth_score","other_score","blank_score","answer","hovered","term"
18706,"111","1","1","1","1",1,1,"Which shift(s) start at 11 am?","triangular","acme_control",FALSE,600,600,"starttime","item_scaffold",52130,"JCKEW","SGC3A","wi22sona","sona","asynch","2218","42693","limitless-plains",FALSE,-1,0,1,0,0,"A","","winter22"
8921,"111","2","1","1","1",1,1,"Which shift(s) start at the same time as D?","triangular","acme_control",FALSE,600,600,"starts","item_scaffold",61153,"JCKEW","SGC3A","wi22sona","sona","asynch","2218","42693","limitless-plains",FALSE,-1,0,1,0,0,"E","","winter22"
26058,"111","3","1","1","1",1,1,"Which shift(s) begin when C ends?","triangular","acme_control",FALSE,600,600,"meets","item_scaffold",87314,"JCKEW","SGC3A","wi22sona","sona","asynch","2218","42693","limitless-plains",FALSE,-1,0,1,0,0,"Z","","winter22"
27080,"111","4","1","1","1",1,1,"Which shift(s) end at 4 pm?","triangular","acme_control",FALSE,600,600,"endtime","item_scaffold",114494,"JCKEW","SGC3A","wi22sona","sona","asynch","2218","42693","limitless-plains",FALSE,-1,0,1,0,0,"U","","winter22"
52121,"111","5","1","1","1",1,1,"Coffee breaks happen halfway through a shift.</br> Which shift(s) share a break with I?","triangular","acme_control",FALSE,600,600,"midpoint","item_scaffold",166717,"JCKEW","SGC3A","wi22sona","sona","asynch","2218","42693","limitless-plains",FALSE,-1,0,1,0,0,"U","","winter22"
7703,"111","6","1","1","1",1,1,"Which shift(s) are six hours long?","triangular","acme_main",FALSE,600,600,"duration","item_nondiscriminant",177550,"JCKEW","SGC3A","wi22sona","sona","asynch","2218","42693","limitless-plains",TRUE,0,2,2,0,0,"E,G","","winter22"
22734,"111","7","1","1","1",1,1,"Which 2 shifts less than 5 hours long start at the same time?","triangular","acme_main",FALSE,600,600,"duration+starts","item_test",200383,"JCKEW","SGC3A","wi22sona","sona","asynch","2218","42693","limitless-plains",FALSE,-1,0,2,0,0,"B,F","","winter22"
66191,"111","8","1","1","1",1,1,"Which shift(s) under 7 hours long starts before B starts, and ends after X ends?","triangular","acme_main",FALSE,600,600,"duration+contained","item_test",266684,"JCKEW","SGC3A","wi22sona","sona","asynch","2218","42693","limitless-plains",FALSE,-1,0,1,0,0,"E","","winter22"
32765,"111","9","1","1","1",1,1,"Which shift(s) begins before J begins and ends during B?","triangular","acme_main",FALSE,600,600,"starttime+before+endtime+during","item_nondiscriminant",300114,"JCKEW","SGC3A","wi22sona","sona","asynch","2218","42693","limitless-plains",TRUE,0,1,1,0,0,"I","","winter22"
26596,"111","10","1","1","1",1,1,"Which shift(s) end at the same time as F?","triangular","acme_main",FALSE,600,600,"ends","item_test",326814,"JCKEW","SGC3A","wi22sona","sona","asynch","2218","42693","limitless-plains",FALSE,-1,0,1,0,0,"X","","winter22"
11985,"111","11","1","1","1",1,1,"Which shift(s) start at 12pm?","triangular","acme_main",FALSE,600,600,"starttime","item_test",338896,"JCKEW","SGC3A","wi22sona","sona","asynch","2218","42693","limitless-plains",FALSE,-1,0,2,0,0,"B,F","","winter22"
3604,"111","12","1","1","1",1,1,"Which shift(s) start at the same time as F?","triangular","acme_main",FALSE,600,600,"starts","item_test",342605,"JCKEW","SGC3A","wi22sona","sona","asynch","2218","42693","limitless-plains",FALSE,-1,0,1,0,0,"B","","winter22"
17083,"111","13","1","1","1",1,1,"Which 2 shifts end when Z begins?","triangular","acme_main",FALSE,600,600,"meets","item_nondiscriminant",359787,"JCKEW","SGC3A","wi22sona","sona","asynch","2218","42693","limitless-plains",FALSE,-0.5,1,2,0,0,"F,X","","winter22"
23931,"111","14","1","1","1",1,1,"Which shift(s) end at 3pm?","triangular","acme_main",FALSE,600,600,"endtime","item_test",383817,"JCKEW","SGC3A","wi22sona","sona","asynch","2218","42693","limitless-plains",FALSE,-1,0,1,0,0,"B","403 PM03 PM","winter22"
44042,"111","15","1","1","1",1,1,"Coffee breaks happen halfway through a shift. </br>Which shifts share a break at 2pm?","triangular","acme_main",FALSE,600,600,"midpoint","item_test",427975,"JCKEW","SGC3A","wi22sona","sona","asynch","2218","42693","limitless-plains",FALSE,-1,0,2,0,0,"E,F","","winter22"
28246,"121","1","1","2","1",1,1,"Which shift(s) start at 11 am?","triangular","acme_impasse",FALSE,600,600,"starttime","item_scaffold",307877,"NBR5N","SGC3A","wi22sona","sona","asynch","2218","37698","limitless-plains",TRUE,1,1,0,0,0,"F","12 PMC ","winter22"
18503,"121","2","1","2","1",1,1,"Which shift(s) start at the same time as D?","triangular","acme_impasse",FALSE,600,600,"starts","item_scaffold",326500,"NBR5N","SGC3A","wi22sona","sona","asynch","2218","37698","limitless-plains",TRUE,1,1,0,0,0,"K","F D 11 AM12 PM11 AM","winter22"
8434,"121","3","1","2","1",1,1,"Which shift(s) begin when C ends?","triangular","acme_impasse",FALSE,600,600,"meets","item_scaffold",335042,"NBR5N","SGC3A","wi22sona","sona","asynch","2218","37698","limitless-plains",TRUE,1,1,0,0,0,"F","5C F ","winter22"
8991,"121","4","1","2","1",1,1,"Which shift(s) end at 4 pm?","triangular","acme_impasse",FALSE,600,600,"endtime","item_scaffold",344139,"NBR5N","SGC3A","wi22sona","sona","asynch","2218","37698","limitless-plains",TRUE,1,1,0,0,0,"H","H ","winter22"
19224,"121","5","1","2","1",1,1,"Coffee breaks happen halfway through a shift.</br> Which shift(s) share a break with I?","triangular","acme_impasse",FALSE,600,600,"midpoint","item_scaffold",363472,"NBR5N","SGC3A","wi22sona","sona","asynch","2218","37698","limitless-plains",TRUE,1,1,0,0,0,"A","I I I 03 PMI I A ","winter22"
16876,"121","6","1","1","1",1,1,"Which shift(s) are six hours long?","triangular","acme_main",FALSE,600,600,"duration","item_nondiscriminant",388681,"NBR5N","SGC3A","wi22sona","sona","asynch","2218","37698","limitless-plains",TRUE,0,2,2,0,0,"E,G","10 AM11 AME G ","winter22"
25769,"121","7","1","1","1",1,1,"Which 2 shifts less than 5 hours long start at the same time?","triangular","acme_main",FALSE,600,600,"duration+starts","item_test",414558,"NBR5N","SGC3A","wi22sona","sona","asynch","2218","37698","limitless-plains",TRUE,1,2,0,0,0,"O,X","F O O O X X X O ","winter22"
57334,"121","8","1","1","1",1,1,"Which shift(s) under 7 hours long starts before B starts, and ends after X ends?","triangular","acme_main",FALSE,600,600,"duration+contained","item_test",472002,"NBR5N","SGC3A","wi22sona","sona","asynch","2218","37698","limitless-plains",TRUE,1,1,0,0,0,"G","F X 03 PM03 PMX X X ","winter22"
76266,"121","9","1","1","1",1,1,"Which shift(s) begins before J begins and ends during B?","triangular","acme_main",FALSE,600,600,"starttime+before+endtime+during","item_nondiscriminant",548384,"NBR5N","SGC3A","wi22sona","sona","asynch","2218","37698","limitless-plains",FALSE,0,0,0,0,1,"","J J I J J J E B B B B 02 PM09 AME B B B F F B B B B ","winter22"
10222,"121","10","1","1","1",1,1,"Which shift(s) end at the same time as F?","triangular","acme_main",FALSE,600,600,"ends","item_test",558913,"NBR5N","SGC3A","wi22sona","sona","asynch","2218","37698","limitless-plains",TRUE,1,1,0,0,0,"E","402 PMF E E ","winter22"
7457,"121","11","1","1","1",1,1,"Which shift(s) start at 12pm?","triangular","acme_main",FALSE,600,600,"starttime","item_test",566483,"NBR5N","SGC3A","wi22sona","sona","asynch","2218","37698","limitless-plains",TRUE,1,2,0,0,0,"L,M","M ","winter22"
10288,"121","12","1","1","1",1,1,"Which shift(s) start at the same time as F?","triangular","acme_main",FALSE,600,600,"starts","item_test",576876,"NBR5N","SGC3A","wi22sona","sona","asynch","2218","37698","limitless-plains",TRUE,1,1,0,0,0,"G","F G F B 10 AMG ","winter22"
9617,"121","13","1","1","1",1,1,"Which 2 shifts end when Z begins?","triangular","acme_main",FALSE,600,600,"meets","item_nondiscriminant",586617,"NBR5N","SGC3A","wi22sona","sona","asynch","2218","37698","limitless-plains",TRUE,0.5,2,1,0,0,"E,F","Z Z Z Z E E ","winter22"
9415,"121","14","1","1","1",1,1,"Which shift(s) end at 3pm?","triangular","acme_main",FALSE,600,600,"endtime","item_test",596143,"NBR5N","SGC3A","wi22sona","sona","asynch","2218","37698","limitless-plains",TRUE,1,1,0,0,0,"X","303 PM03 PMX ","winter22"
10026,"121","15","1","1","1",1,1,"Coffee breaks happen halfway through a shift. </br>Which shifts share a break at 2pm?","triangular","acme_main",FALSE,600,600,"midpoint","item_test",606278,"NBR5N","SGC3A","wi22sona","sona","asynch","2218","37698","limitless-plains",TRUE,1,2,0,0,0,"K,X","01 PM02 PMX X ","winter22"
61135,"121","1","1","2","1",1,1,"Which shift(s) start at 11 am?","triangular","acme_impasse",FALSE,600,600,"starttime","item_scaffold",168196,"S4T2X","SGC3A","wi22sona","sona","asynch","2218","40025","limitless-plains",FALSE,-0.0833333333333333,0,0,0,0,"O","11 AM11 AM11 AMA 11 AMA A O O O 11 AM","winter22"
27809,"121","2","1","2","1",1,1,"Which shift(s) start at the same time as D?","triangular","acme_impasse",FALSE,600,600,"starts","item_scaffold",196326,"S4T2X","SGC3A","wi22sona","sona","asynch","2218","40025","limitless-plains",FALSE,0,0,0,0,1,"","D 04 PM","winter22"
29509,"121","3","1","2","1",1,1,"Which shift(s) begin when C ends?","triangular","acme_impasse",FALSE,600,600,"meets","item_scaffold",225961,"S4T2X","SGC3A","wi22sona","sona","asynch","2218","40025","limitless-plains",FALSE,-0.0833333333333333,0,0,1,0,"X","C C 4","winter22"
34133,"121","4","1","2","1",1,1,"Which shift(s) end at 4 pm?","triangular","acme_impasse",FALSE,600,600,"endtime","item_scaffold",260207,"S4T2X","SGC3A","wi22sona","sona","asynch","2218","40025","limitless-plains",FALSE,-0.0833333333333333,0,0,1,0,"F","U U U F F F F G F ","winter22"
