"_id","explanation","exp_id","sona_id","pool","mode","effort","difficulty","confidence","enjoyment","other","age","country","language","schoolyear","major","gender","disability","subject","study","condition","session","browser","width","height","os","starttime","totaltime","violations","absolute_score","discriminant_score","tri_score","orth_score","other_score","blank_score","status","term","sex","year","native_language"
"7OYPU","find 12 pm look at the diagonal right line originating from it ","2218","40135","sona","asynch","I tried my best on each question",1,5,1,"",23,"United States","X-Other","Fourth","Social Sciences (incl. CogSci)","Other-Not Listed","","7OYPU","SGC3A","111","wi22sona","chrome",2560,1307,"Windows 10","2022-02-25T03:49:31.383Z",245978,1,12,12,15,0,0,0,"success","winter22","Other-Not Listed","Fourth","X-Other"
"S4T2X","find 12pm on the bottom axis and see which start","2218","40025","sona","asynch","I tried my best on each question",2,4,3,"n/a! really liked it",22,"usa","English","Fourth","Social Sciences (incl. CogSci)","Female","","S4T2X","SGC3A","121","wi22sona","chrome",1440,680,"Mac OS","2022-02-23T05:20:03.562Z",692756,1,1,-4.91666666666667,1,8,4,1,"success","winter22","Female","Fourth","English"
"JDHT2","looking at the Y-axis of the graph, it tells us information about when the worker came in and how long they stayed, the x-axis tells us when the worker left and when the break time is based on calculating the duration. ","2218","39093","sona","asynch","I tried my best on most questions",3,2,3,"",20,"Korea ","Korean","Second","Social Sciences (incl. CogSci)","Female","","JDHT2","SGC3A","111","wi22sona","chrome",1280,688,"Mac OS","2022-02-25T10:00:17.274Z",581170,2.5,1,-5.08333333333333,1,8,6,0,"success","winter22","Female","Second","Korean"
"EH3ED","For shift start, follow the 12pm on the xaxis up. For shift end, add shift hours and follow axis. For coffee break, follow diagonal line.","2218","29937","sona","asynch","I tried my best on each question",5,2,4,"",21,"United States","English","Fourth","Humanities","Male","","EH3ED","SGC3A","121","wi22sona","chrome",1440,764,"Mac OS","2022-02-25T23:59:48.857Z",733844,1.5,1,-6.33333333333333,1,10,2,0,"success","winter22","Male","Fourth","English"
"RVTK3","Look at the points on the ""/"" facing diagonal starting from 12pm ","2218","26917","sona","asynch","I tried my best on each question",3,4,5,"The letters are a little small on the graph.",21,"USA","English","Fourth","Social Sciences (incl. CogSci)","Male","","RVTK3","SGC3A","111","wi22sona","chrome",1920,937,"Windows 10","2022-02-26T02:50:19.462Z",427653,1,12,12,15,0,0,0,"success","winter22","Male","Fourth","English"
"H0HHM","you find 12pm on the x-axis, & then follow the diagonal line going up & towards the right, which would lead you to M & L.","2218","36591","sona","asynch","I tried my best on each question",1,5,5,"I somewhat like looking at graphs, & I like to organize & plan. So I was actually very interested & intrigued by the study description when I first learned that I'd be looking at schedules. ",24,"United States","Spanish","Fourth","Social Sciences (incl. CogSci)","Female","","H0HHM","SGC3A","121","wi22sona","chrome",1366,689,"Mac OS","2022-02-26T18:10:31.365Z",841101,1,12,12,15,0,0,0,"success","winter22","Female","Fourth","Spanish"
"JCKEW","look which are in a stright line vertically","2218","42693","sona","asynch","I tried my best on each question",3,4,2,"im v tired; could have done better",20,"USA","English","Second","Natural Sciences","Female","nope","JCKEW","SGC3A","111","wi22sona","chrome",1536,722,"Windows 10","2022-02-23T02:47:49.093Z",521200,1,0,-12,0,15,0,0,"success","winter22","Female","Second","English"
"4YF1J","find 12pm then look up","2218","42720","sona","asynch","I tried my best on each question",3,3,1,"",21,"United States","English","Third","Social Sciences (incl. CogSci)","Male","","4YF1J","SGC3A","111","wi22sona","chrome",1920,937,"Windows 10","2022-02-23T05:58:08.413Z",414642,2,1,-8.16666666666667,1,12,2,1,"success","winter22","Male","Third","English"
"G1GGZ","You look at the x axis (Start and End Time (time of day)) and locate 12 PM on that line then directly go up and see if there are any points that align with that time. ","2218","40609","sona","asynch","I tried my best on each question",3,3,5,"I am very perplexed by the first round of questions because from my observations (which could definitely be wrong) there were no correct answers so I left them blank and clicked submit. So please do not think I was not participating or not trying from those first round of submissions. I just did not see that there was answer so I submitted it blank as an answer. That is all. Thank you!",23,"United States","English","Third","Social Sciences (incl. CogSci)","Female","","G1GGZ","SGC3A","121","wi22sona","chrome",1536,721,"Windows 10","2022-02-25T01:38:21.078Z",1336349,1,0,-7.08333333333333,0,10,1,4,"success","winter22","Female","Third","English"
"6M284","You go up from 12pm to see if any dots intersect with that position. I think I might have just figured out how to read this graph though. If I'm now correct, then the left line extending from 12 indicates that it starts at 12, and the right line extending means that it would end at 12. Sorry...I was very confused by this graph in the beginning.","2218","35848","sona","asynch","I tried my best on most questions",5,1,3,"I wish I could do it again now that I think I understand how to read the graph. I enjoy puzzles like this, but I wasn't able to do as well as I would like because the graph was so confusing to me at first.",20,"United States","English","Third","Biomedical & Health Sciences","Female","","6M284","SGC3A","121","wi22sona","chrome",1920,969,"Windows 10","2022-02-26T18:52:10.270Z",532294,1,0,-5.75,0,8,3,4,"success","winter22","Female","Third","English"
