"subject","session","term","condition","q","question","answer","rt","correct","orth_correct","explicit","impasse","axis"
"G72GB","strategy-satisficing","spring18","121","16",NA,"First indicate the 12pm slot on the x-axis and trace the right-most diagonal connected to this slot up until you find points of intersection. ",47921,NA,NA,NA,NA,NA
"8MVD2","strategy-connecting","spring18","121","16",NA,"Follow the diagonal line up from the 12pm slot",15949,NA,NA,NA,NA,NA
"WQKT9","strategy-connecting","spring18","121","16",NA,"Follow the lines coming from 12 and get M and L. ",21527,NA,NA,NA,NA,NA
"ZYASS","strategy-satisficing","spring18","121","16",NA,"Go up, then choose the points that above twelve pm. ",88423,NA,NA,NA,NA,NA
"ZNVCQ","MOUSE","spring18","111","1","starttime","A",71900,0,1,"1","1","full"
"ZNVCQ","MOUSE","spring18","111","2","starts","E",152081,0,1,"1","1","full"
"ZNVCQ","MOUSE","spring18","111","3","meets","Z",22185,0,1,"1","1","full"
"ZNVCQ","MOUSE","spring18","111","4","endtime","U",104123,0,1,"1","1","full"
"ZNVCQ","MOUSE","spring18","111","5","midpoint","U",105123,0,1,"1","1","full"
"ZNVCQ","MOUSE","spring18","111","6","duration","EG",17315,1,1,"1","1","full"
"ZNVCQ","MOUSE","spring18","111","7","duration+starts","FB",16018,0,1,"1","1","full"
"ZNVCQ","MOUSE","spring18","111","8","duration+contained","E",28495,0,1,"1","1","full"
"ZNVCQ","MOUSE","spring18","111","9","starttime+before+endtime+during","I",299600,1,1,"1","1","full"
"ZNVCQ","MOUSE","spring18","111","10","ends","B",9348,0,0,"1","1","full"
"ZNVCQ","MOUSE","spring18","111","11","starttime","FB",12278,0,1,"1","1","full"
"ZNVCQ","MOUSE","spring18","111","12","starts","B",19525,0,1,"1","1","full"
"ZNVCQ","MOUSE","spring18","111","13","meets","FX",63067,0,1,"1","1","full"
"ZNVCQ","MOUSE","spring18","111","14","endtime","B",32792,0,1,"1","1","full"
"ZNVCQ","MOUSE","spring18","111","15","midpoint","EF",61593,0,1,"1","1","full"
"7PEXQ","MOUSE","spring18","111","1","starttime","A",90173,0,1,"1","1","full"
"7PEXQ","MOUSE","spring18","111","2","starts","E",68297,0,1,"1","1","full"
"7PEXQ","MOUSE","spring18","111","3","meets","Z",33259,0,1,"1","1","full"
"7PEXQ","MOUSE","spring18","111","4","endtime","U",80223,0,1,"1","1","full"
"7PEXQ","MOUSE","spring18","111","5","midpoint","U",164115,0,1,"1","1","full"
"7PEXQ","MOUSE","spring18","111","6","duration","EG",17692,1,1,"1","1","full"
"7PEXQ","MOUSE","spring18","111","7","duration+starts","FB",32186,0,1,"1","1","full"
"7PEXQ","MOUSE","spring18","111","8","duration+contained","E",63838,0,1,"1","1","full"
"7PEXQ","MOUSE","spring18","111","9","starttime+before+endtime+during","I",26250,1,1,"1","1","full"
"7PEXQ","MOUSE","spring18","111","10","ends","X",32028,0,1,"1","1","full"
