"subject","study","term","pool","mode","condition","pretty_condition","block","explicit","impasse","grid","mark","ixn","gwidth","gheight","graph","time_elapsed_m","question","relation","q","correct","answer","rt_s"
"1MD0B","SGC4A","winter22","sona","asynch","11111","Orth-Full","item_test","1","1","1","1","1",600,600,"triangular",1.05561666666667,"Which shift(s) start at 11 am?","starttime","1","FALSE","X",12.468
"1MD0B","SGC4A","winter22","sona","asynch","11111","Orth-Full","item_test","1","1","1","1","1",600,600,"triangular",1.23686666666667,"Which shift(s) start at the same time as D?","starts","2","FALSE","J",10.727
"1MD0B","SGC4A","winter22","sona","asynch","11111","Orth-Full","item_test","1","1","1","1","1",600,600,"triangular",1.40723333333333,"Which shift(s) begin when C ends?","meets","3","FALSE","Z",10.096
"1MD0B","SGC4A","winter22","sona","asynch","11111","Orth-Full","item_test","1","1","1","1","1",600,600,"triangular",1.57828333333333,"Which shift(s) end at 4 pm?","endtime","4","FALSE","K,D",10.138
"1MD0B","SGC4A","winter22","sona","asynch","11111","Orth-Full","item_test","1","1","1","1","1",600,600,"triangular",1.6428,"Coffee breaks happen halfway through a shift.</br> Which shift(s) share a break with I?","midpoint","5","FALSE","J,D",3.745
"1MD0B","SGC4A","winter22","sona","asynch","11111","Orth-Full","item_nondiscriminant","1","1","1","1","1",600,600,"triangular",1.8541,"Which shift(s) are six hours long?","duration","6","FALSE","C,G,K",5.594
"1MD0B","SGC4A","winter22","sona","asynch","11111","Orth-Full","item_test","1","1","1","1","1",600,600,"triangular",1.91058333333333,"Which 2 shifts less than 5 hours long start at the same time?","duration+starts","7","FALSE","F,G,H",3.258
"1MD0B","SGC4A","winter22","sona","asynch","11111","Orth-Full","item_test","1","1","1","1","1",600,600,"triangular",1.95231666666667,"Which shift(s) under 7 hours long starts before B starts, and ends after X ends?","duration+contained","8","FALSE","F,J,N",2.379
"1MD0B","SGC4A","winter22","sona","asynch","11111","Orth-Full","item_nondiscriminant","1","1","1","1","1",600,600,"triangular",2.0866,"Which shift(s) begins before J begins and ends during B?","starttime+before+endtime+during","9","FALSE","C,G,H",7.929
"1MD0B","SGC4A","winter22","sona","asynch","11111","Orth-Full","item_test","1","1","1","1","1",600,600,"triangular",2.68166666666667,"Which shift(s) end at the same time as F?","ends","10","FALSE","B,F",35.574
"1MD0B","SGC4A","winter22","sona","asynch","11111","Orth-Full","item_test","1","1","1","1","1",600,600,"triangular",2.751,"Which shift(s) start at 12pm?","starttime","11","FALSE","K,O",4.037
"1MD0B","SGC4A","winter22","sona","asynch","11111","Orth-Full","item_test","1","1","1","1","1",600,600,"triangular",2.77483333333333,"Which shift(s) start at the same time as F?","starts","12","FALSE","J",1.298
"1MD0B","SGC4A","winter22","sona","asynch","11111","Orth-Full","item_nondiscriminant","1","1","1","1","1",600,600,"triangular",2.80028333333333,"Which 2 shifts end when Z begins?","meets","13","FALSE","",1.403
"1MD0B","SGC4A","winter22","sona","asynch","11111","Orth-Full","item_test","1","1","1","1","1",600,600,"triangular",2.83641666666667,"Which shift(s) end at 3pm?","endtime","14","FALSE","O",2.044
"1MD0B","SGC4A","winter22","sona","asynch","11111","Orth-Full","item_test","1","1","1","1","1",600,600,"triangular",2.86046666666667,"Coffee breaks happen halfway through a shift. </br>Which shifts share a break at 2pm?","midpoint","15","FALSE","B",1.319
"33MKE","SGC4A","winter22","sona","asynch","11111","Orth-Full","item_test","1","1","1","1","1",600,600,"triangular",0.964883333333333,"Which shift(s) start at 11 am?","starttime","1","FALSE","A",22.351
"33MKE","SGC4A","winter22","sona","asynch","11111","Orth-Full","item_test","1","1","1","1","1",600,600,"triangular",1.05543333333333,"Which shift(s) start at the same time as D?","starts","2","FALSE","E",5.326
"33MKE","SGC4A","winter22","sona","asynch","11111","Orth-Full","item_test","1","1","1","1","1",600,600,"triangular",1.61868333333333,"Which shift(s) begin when C ends?","meets","3","FALSE","K",33.625
"33MKE","SGC4A","winter22","sona","asynch","11111","Orth-Full","item_test","1","1","1","1","1",600,600,"triangular",2.35136666666667,"Which shift(s) end at 4 pm?","endtime","4","FALSE","K",43.835
"33MKE","SGC4A","winter22","sona","asynch","11111","Orth-Full","item_test","1","1","1","1","1",600,600,"triangular",2.65105,"Coffee breaks happen halfway through a shift.</br> Which shift(s) share a break with I?","midpoint","5","TRUE","O",17.857
"33MKE","SGC4A","winter22","sona","asynch","11111","Orth-Full","item_nondiscriminant","1","1","1","1","1",600,600,"triangular",3.7607,"Which shift(s) are six hours long?","duration","6","FALSE","F",63.38
"33MKE","SGC4A","winter22","sona","asynch","11111","Orth-Full","item_test","1","1","1","1","1",600,600,"triangular",4.20003333333333,"Which 2 shifts less than 5 hours long start at the same time?","duration+starts","7","FALSE","K,X",25.834
