"subject","study","term","pool","mode","condition","pretty_condition","block","explicit","impasse","grid","mark","ixn","gwidth","gheight","graph","time_elapsed_m","question","relation","q","correct","answer","rt_s"
"G6J4A","SGC4A","winter22","sona","asynch","11111","Orth-Full","item_test","1","1","1","1","1",600,600,"triangular",1.14628333333333,"Which shift(s) start at 11 am?","starttime","1","FALSE","I",21.506
"G6J4A","SGC4A","winter22","sona","asynch","11111","Orth-Full","item_test","1","1","1","1","1",600,600,"triangular",1.42513333333333,"Which shift(s) start at the same time as D?","starts","2","FALSE","J",16.131
"G6J4A","SGC4A","winter22","sona","asynch","11111","Orth-Full","item_test","1","1","1","1","1",600,600,"triangular",1.61456666666667,"Which shift(s) begin when C ends?","meets","3","FALSE","J",11.161
"G6J4A","SGC4A","winter22","sona","asynch","11111","Orth-Full","item_test","1","1","1","1","1",600,600,"triangular",1.86458333333333,"Which shift(s) end at 4 pm?","endtime","4","FALSE","B",14.669
"G6J4A","SGC4A","winter22","sona","asynch","11111","Orth-Full","item_test","1","1","1","1","1",600,600,"triangular",2.08821666666667,"Coffee breaks happen halfway through a shift.</br> Which shift(s) share a break with I?","midpoint","5","TRUE","O",13.216
"G6J4A","SGC4A","winter22","sona","asynch","11111","Orth-Full","item_nondiscriminant","1","1","1","1","1",600,600,"triangular",2.45546666666667,"Which shift(s) are six hours long?","duration","6","TRUE","E,G",15.131
"G6J4A","SGC4A","winter22","sona","asynch","11111","Orth-Full","item_test","1","1","1","1","1",600,600,"triangular",2.84268333333333,"Which 2 shifts less than 5 hours long start at the same time?","duration+starts","7","FALSE","B,F,I,J,O,Z",23.121
"G6J4A","SGC4A","winter22","sona","asynch","11111","Orth-Full","item_test","1","1","1","1","1",600,600,"triangular",2.93156666666667,"Which shift(s) under 7 hours long starts before B starts, and ends after X ends?","duration+contained","8","FALSE","B,F,G",5.163
"G6J4A","SGC4A","winter22","sona","asynch","11111","Orth-Full","item_nondiscriminant","1","1","1","1","1",600,600,"triangular",3.12573333333333,"Which shift(s) begins before J begins and ends during B?","starttime+before+endtime+during","9","FALSE","M",11.539
"G6J4A","SGC4A","winter22","sona","asynch","11111","Orth-Full","item_test","1","1","1","1","1",600,600,"triangular",3.25931666666667,"Which shift(s) end at the same time as F?","ends","10","FALSE","Z",7.39
"G6J4A","SGC4A","winter22","sona","asynch","11111","Orth-Full","item_test","1","1","1","1","1",600,600,"triangular",3.4063,"Which shift(s) start at 12pm?","starttime","11","FALSE","B,F",8.607
"G6J4A","SGC4A","winter22","sona","asynch","11111","Orth-Full","item_test","1","1","1","1","1",600,600,"triangular",3.52821666666667,"Which shift(s) start at the same time as F?","starts","12","FALSE","Z",7.077
"G6J4A","SGC4A","winter22","sona","asynch","11111","Orth-Full","item_nondiscriminant","1","1","1","1","1",600,600,"triangular",3.8213,"Which 2 shifts end when Z begins?","meets","13","FALSE","D,N",17.372
