"subject","study","term","pool","mode","condition","pretty_condition","block","explicit","impasse","grid","mark","ixn","gwidth","gheight","graph","time_elapsed_m","question","relation","q","correct","answer","rt_s"
"89AL6","SGC4B","winter22","sona","asynch","1112","arrow","item_scaffold","1","1","1","2","",600,600,"triangular",1.77885,"Which shift(s) start at 11 am?","starttime","1","FALSE","A",13.123
"89AL6","SGC4B","winter22","sona","asynch","1112","arrow","item_scaffold","1","1","1","2","",600,600,"triangular",1.97521666666667,"Which shift(s) start at the same time as D?","starts","2","FALSE","E",11.674
"89AL6","SGC4B","winter22","sona","asynch","1112","arrow","item_scaffold","1","1","1","2","",600,600,"triangular",3.3019,"Which shift(s) begin when C ends?","meets","3","FALSE","Z",79.479
"89AL6","SGC4B","winter22","sona","asynch","1112","arrow","item_scaffold","1","1","1","2","",600,600,"triangular",3.49918333333333,"Which shift(s) end at 4 pm?","endtime","4","FALSE","D,E",11.208
"89AL6","SGC4B","winter22","sona","asynch","1112","arrow","item_scaffold","1","1","1","2","",600,600,"triangular",4.09051666666667,"Coffee breaks happen halfway through a shift.</br> Which shift(s) share a break with I?","midpoint","5","TRUE","O",35.366
"89AL6","SGC4B","winter22","sona","asynch","1112","arrow","item_nondiscriminant","1","1","1","2","",600,600,"triangular",4.26968333333333,"Which shift(s) are six hours long?","duration","6","TRUE","E,G",7.005
"89AL6","SGC4B","winter22","sona","asynch","1112","arrow","item_test","1","1","1","2","",600,600,"triangular",4.7344,"Which 2 shifts less than 5 hours long start at the same time?","duration+starts","7","FALSE","F,Z",27.774
"89AL6","SGC4B","winter22","sona","asynch","1112","arrow","item_test","1","1","1","2","",600,600,"triangular",5.27025,"Which shift(s) under 7 hours long starts before B starts, and ends after X ends?","duration+contained","8","FALSE","J,M",32.04
"89AL6","SGC4B","winter22","sona","asynch","1112","arrow","item_nondiscriminant","1","1","1","2","",600,600,"triangular",5.43801666666667,"Which shift(s) begins before J begins and ends during B?","starttime+before+endtime+during","9","TRUE","I",9.947
"89AL6","SGC4B","winter22","sona","asynch","1112","arrow","item_test","1","1","1","2","",600,600,"triangular",5.63966666666667,"Which shift(s) end at the same time as F?","ends","10","FALSE","J",11.989
"89AL6","SGC4B","winter22","sona","asynch","1112","arrow","item_test","1","1","1","2","",600,600,"triangular",5.78525,"Which shift(s) start at 12pm?","starttime","11","FALSE","B,F",8.626
"89AL6","SGC4B","winter22","sona","asynch","1112","arrow","item_test","1","1","1","2","",600,600,"triangular",5.89803333333333,"Which shift(s) start at the same time as F?","starts","12","FALSE","B",6.65
"89AL6","SGC4B","winter22","sona","asynch","1112","arrow","item_nondiscriminant","1","1","1","2","",600,600,"triangular",6.65831666666667,"Which 2 shifts end when Z begins?","meets","13","FALSE","D,N",45.503
