"subject","study","condition","pretty_condition","session","exp_id","sona_id","pool","mode","attn_check","effort","difficulty","confidence","enjoyment","other","age","country","language","schoolyear","major","gender","disability","browser","width","height","os","starttime","status","term","violations","absolute_score","totaltime_m","reason"
"M2JR0","SGC4B","1112","arrow","wi22sona","2218","42099","sona","asynch","TRUE","I tried my best on each question",1,4,4,"",21,"United States","English","Third","Humanities","Other-Not Listed","","chrome",1440,737,"Mac OS","2022-03-09T07:50:32.636Z","success","winter22",6,0,27.7925833333333,"exceeded-violations"
"WPZA6","SGC4B","1113","cross","wi22sona","2217","34010","sona","asynch","TRUE","I tried my best on each question",2,4,3,"",21,"United States","English","Third","Social Sciences (incl. CogSci)","Female","","chrome",1388,881,"Windows 10","2022-03-04T22:07:21.848Z","success","winter22",5,12,107.961716666667,"exceeded-violations"
"617NJ","SGC4B","1113","cross","wi22sona","2218","43342","sona","asynch","TRUE","I tried my best on most questions",1,5,4,"I think it can be useful to actual shift.",24,"Japan","X-Other","Third","Humanities","Male","","chrome",1440,764,"Mac OS","2022-03-09T21:37:12.062Z","success","winter22",6,11,13.7269333333333,"exceeded-violations"
"DZQCP","SGC4B","1112","arrow","wi22sona","2217","29981","sona","asynch","TRUE","I tried my best on most questions",2,3,1,"",21,"United States","English","Fourth","Social Sciences (incl. CogSci)","Male","","chrome",1440,788,"Mac OS","2022-03-04T20:56:15.424Z","success","winter22",6.5,0,5.20438333333333,"exceeded-violations"
"UOFKX","SGC4B","1113","cross","wi22sona","2217","34010","sona","asynch","TRUE","I tried my best on each question",2,3,3,"",21,"United States","English","Third","Social Sciences (incl. CogSci)","Female","","chrome",1165,881,"Windows 10","2022-03-04T06:51:11.210Z","success","winter22",10,11,9.06776666666667,"exceeded-violations"
"S2QNZ","SGC4B","1113","cross","wi22sona","2217","43239","sona","asynch","TRUE","I tried my best on most questions",3,5,3,"N/A",21,"USA","English","Fourth","Math or Computer Sciences","Male","N/A","chrome",1280,720,"Windows 10","2022-03-05T21:13:49.246Z","success","winter22",8,0,306.565416666667,"exceeded-violations"
"DVLTO","SGC4B","1112","arrow","wi22sona","2218","38450","sona","asynch","TRUE","I tried my best on each question",4,3,4,"",20,"United States","English","Second","Social Sciences (incl. CogSci)","Female","","chrome",1240,726,"Mac OS","2022-03-09T20:53:05.536Z","success","winter22",5,0,11.8302666666667,"exceeded-violations"
"M3EKH","SGC4B","1112","arrow","wi22sona","2218","36516","sona","asynch","TRUE","I tried my best on most questions",4,2,2,"",22,"USA","X-Other","Fourth","Social Sciences (incl. CogSci)","Male","","chrome",1792,1041,"Mac OS","2022-03-09T15:41:17.578Z","success","winter22",6,1,16.2505833333333,"exceeded-violations"
"7295A","SGC4B","1113","cross","wi22sona","2217","28697","sona","asynch","TRUE","I tried my best on each question",3,4,3,"The description of the x-axis was a bit confusing if it was the start or end time showing.",21,"United States","English","Fourth","Social Sciences (incl. CogSci)","Female","No.","chrome",1440,821,"Mac OS","2022-03-06T05:05:20.546Z","success","winter22",13,0,171.357866666667,"exceeded-violations"
"C7ZU7","SGC4B","1112","arrow","wi22sona","2217","42856","sona","asynch","TRUE","I tried my best on each question",4,3,4,"",18,"United States","English","First","Natural Sciences","Male","","chrome",1920,969,"Windows 10","2022-03-05T04:02:59.451Z","success","winter22",6,5,7.49453333333333,"exceeded-violations"
"ECBKO","SGC4B","1112","arrow","wi22sona","2218","36719","sona","asynch","TRUE","I tried my best on most questions",4,3,2,"",20,"United States","English","Second","Social Sciences (incl. CogSci)","Female","","chrome",1233,722,"Mac OS","2022-03-09T21:12:27.732Z","success","winter22",10.5,0,9.22455,"exceeded-violations"
"P7FJR","SGC4B","1112","arrow","wi22sona","2217","35642","sona","asynch","TRUE","I tried my best on most questions",4,2,2,"",20,"China","Mandarin","Second","Fine Arts","Female","","chrome",1792,911,"Mac OS","2022-03-05T09:32:15.576Z","success","winter22",8,1,31.1532833333333,"exceeded-violations"
"JBY7K","SGC4B","1113","cross","wi22sona","2217","38081","sona","asynch","TRUE","I tried my best on most questions",3,3,4,"",23,"CHINA","X-Other","Fourth","Social Sciences (incl. CogSci)","Male","","chrome",1920,937,"Windows 10","2022-03-05T04:02:40.327Z","success","winter22",6.5,1,23.9292166666667,"exceeded-violations"
"JW51F","SGC4B","1113","cross","wi22sona","2217","43199","sona","asynch","TRUE","I tried my best on each question",4,4,2,"",21,"China","Mandarin","Third","Social Sciences (incl. CogSci)","Male","","chrome",1600,762,"Windows 10","2022-03-04T08:03:22.164Z","success","winter22",5,0,23.9121,"exceeded-violations"
