"subject","study","condition","pretty_condition","session","exp_id","sona_id","pool","mode","attn_check","effort","difficulty","confidence","enjoyment","other","age","country","language","schoolyear","major","gender","disability","browser","width","height","os","starttime","status","term","violations","absolute_score","totaltime_m"
"K0MZ5","SGC3B","221","img-impasse","suPROLIFIC","630575e5f8bc88efe44ef98c","62eec1ce0ae04f6129df1e94","prolific","asynch","TRUE","I tried my best on each question",4,2,3,"Nothing.",19,"United States","English","Secondary School/Highschool","Math or Computer Sciences","Male","No","chrome",1600,827,"Windows 10","2022-08-24T01:52:42.078Z","success","summer22",1,6,22.7953333333333
"GY0YU","SGC3B","321","ixv-impasse","suPROLIFIC","6305833e06c2929ccd50f4b9","6107f318a5a3d70640835aea","prolific","asynch","TRUE","I tried my best on each question",4,4,4,"",20,"United States","English","some college","Humanities","Female","Nope","chrome",1222,705,"Mac OS","2022-08-24T03:20:32.682Z","success","summer22",1,12,10.8933166666667
"MRZ30","SGC3B","211","img-control","suPROLIFIC","6305646d20b66a6b9d44425f","5f7654f879a4420e6d20971b","prolific","asynch","TRUE","I tried my best on each question",4,3,3,"I feel like I misread the graph/got confused during the first few questions but then I understood how to interpret it correctly. ",22,"USA","English","some college","Fine Arts","Female","","chrome",1440,716,"Mac OS","2022-08-24T01:00:16.602Z","success","summer22",2.5,9,9.56421666666667
"LYNWR","SGC3B","221","img-impasse","suPROLIFIC","630575e5f8bc88efe44ef98c","62d24fc11889482bc5b71965","prolific","asynch","TRUE","I tried my best on each question",3,3,4,"",21,"United States","English","some college","Math or Computer Sciences","Male","N/A","chrome",1920,937,"Windows 10","2022-08-24T03:00:29.622Z","success","summer22",3,0,7.0453
"KHM82","SGC3B","321","ixv-impasse","suPROLIFIC","6305833e06c2929ccd50f4b9","5b0b4f41641b1200010ecb11","prolific","asynch","TRUE","I tried my best on each question",3,3,3,"n/a",32,"United States","English","Graduate Degree","Humanities","Female","n/a","chrome",1440,788,"Mac OS","2022-08-24T02:55:00.758Z","success","summer22",1,11,9.90998333333333
"456UX","SGC3B","211","img-control","suPROLIFIC","6305646d20b66a6b9d44425f","5962e5c8ba58f30001d48048","prolific","asynch","TRUE","I tried my best on each question",3,4,4,"Nothing",26,"United States","English","Bachelors Degree","Social Sciences (incl. CogSci)","Female","no","chrome",1517,721,"Chrome OS","2022-08-24T00:24:36.128Z","success","summer22",2,12,13.8424
"ZVW5L","SGC3B","221","img-impasse","suPROLIFIC","630575e5f8bc88efe44ef98c","630486d3135ebae69cf08f0d","prolific","asynch","TRUE","I tried my best on each question",3,4,5,"",25,"USA","English","Bachelors Degree","Engineering","Male","no","chrome",1920,969,"Windows 10","2022-08-24T01:42:54.133Z","success","summer22",1,12,13.6154833333333
"U5DS5","SGC3B","321","ixv-impasse","suPROLIFIC","6305833e06c2929ccd50f4b9","5aa61dd36475f90001a05dcf","prolific","asynch","TRUE","I tried my best on each question",2,5,5,"It's an interesting type of graph! Once you figure out how to use it, it's very intuitive to use.",39,"United States","English","Graduate Degree","Humanities","Other-Not Listed","I am probably autistic.","chrome",1536,722,"Windows 10","2022-08-24T03:00:57.656Z","success","summer22",2,9,8.65193333333333
"XWK1T","SGC3B","211","img-control","suPROLIFIC","6305646d20b66a6b9d44425f","602f329284781fbf09e0cafc","prolific","asynch","TRUE","I tried my best on each question",2,4,2,"I didnt understand until questions 1 or 2 ",34,"USA","English","some college","Social Sciences (incl. CogSci)","Male","no","chrome",1920,937,"Windows 10","2022-08-24T00:21:29.143Z","success","summer22",1,10,11.1679166666667
"FZ00G","SGC3B","221","img-impasse","suPROLIFIC","630575e5f8bc88efe44ef98c","5c61a77464fd2100010e09f7","prolific","asynch","TRUE","I tried my best on each question",4,3,4,"nice meme :)",27,"United States","English","Graduate Degree","Social Sciences (incl. CogSci)","Female","n/a","chrome",1475,720,"Windows 10","2022-08-24T01:49:41.189Z","success","summer22",1,10,7.53833333333333
