"subject","study","condition","pretty_condition","session","exp_id","sona_id","pool","mode","attn_check","effort","difficulty","confidence","enjoyment","other","age","country","language","schoolyear","major","gender","disability","browser","width","height","os","starttime","status","term","violations","absolute_score","totaltime_m"
"5UZCZ","SGC4A","114","Orth-Sparse","su22sona","2218","37904","sona","asynch","TRUE","I tried my best on each question",4,5,5,"",19,"United States","English","Third","Engineering","Female","No","chrome",1536,722,"Windows 10","2022-08-05T01:09:11.628Z","success","summer22",1.5,0,9.65508333333333
"KZ2V2","SGC4A","114","Orth-Sparse","su22sona","2218","39904","sona","asynch","TRUE","I tried my best on each question",1,5,5,"",25,"South Korea","Korean","Fourth","Social Sciences (incl. CogSci)","Female","","chrome",1305,680,"Mac OS","2022-07-27T19:11:04.826Z","success","summer22",1,0,11.0853666666667
"Z707E","SGC4A","115","Orth-Grid","su22sona","2217","42121","sona","asynch","FALSE","I tried my best on each question",3,3,5,"",23,"USA","English","Fourth","Biomedical & Health Sciences","Female","n/a","chrome",1447,742,"Mac OS","2022-07-22T00:31:00.992Z","success","summer22",1,11,4.70955
"JMOG6","SGC4A","114","Orth-Sparse","su22sona","2218","33004","sona","asynch","TRUE","I tried my best on most questions",5,3,2,"Possibly make the image bigger, it was somewhat difficult to see",20,"USA","English","Fourth","Humanities","Male","No","chrome",1440,789,"Mac OS","2022-07-27T06:16:34.078Z","success","summer22",1,0,18.6789
"H50MQ","SGC4A","114","Orth-Sparse","su22sona","2218","44484","sona","asynch","TRUE","I tried my best on each question",4,2,4,"",19,"United States","X-Other","Third","Biomedical & Health Sciences","Male","","chrome",1638,963,"Mac OS","2022-07-27T16:38:29.304Z","success","summer22",1,3,5.57483333333333
"AAAGG","SGC4A","115","Orth-Grid","su22sona","2217","42202","sona","asynch","TRUE","I tried my best on most questions",3,2,2,"The background was impairing my ability accurately determine the times.",21,"United States","English","Fourth","Social Sciences (incl. CogSci)","Female","","chrome",1368,801,"Windows 10","2022-08-05T03:41:56.390Z","success","summer22",1,0,11.4205
"56LBD","SGC4A","113","Tri-Sparse","suProlific","62cb7ab9939887df5ae4c784","604d8f415e948938fd60b536","sona","asynch","FALSE","I tried my best on most questions",4,3,3,"",41,"usa","English","X-OTHER","Social Sciences (incl. CogSci)","Female","","chrome",1536,763,"Windows 10","2022-07-12T07:06:21.589Z","success","summer22",2,1,21.8814833333333
"3R0RW","SGC4A","114","Orth-Sparse","su22sona","2218","44500","sona","asynch","TRUE","I tried my best on most questions",3,3,3,"",22,"china","Mandarin","Third","Social Sciences (incl. CogSci)","Male","","chrome",1440,683,"Mac OS","2022-07-27T20:16:10.862Z","success","summer22",1,1,8.80515
"2QSFF","SGC4A","115","Orth-Grid","su22sona","2217","44494","sona","asynch","FALSE","I tried my best on each question",3,3,3,"",19,"CHina","Cantonese","Second","Biomedical & Health Sciences","Male","","chrome",1680,971,"Mac OS","2022-07-27T07:18:37.158Z","success","summer22",1,1,3.83646666666667
"ZZ7LS","SGC4A","113","Tri-Sparse","suProlific","62cb7ab9939887df5ae4c784","610898813e48dc2864965122","sona","asynch","TRUE","I tried my best on each question",3,3,2,"It would help if the lines intersected at each interval, rather than every other interval.",26,"USA","English","Grad Student","Fine Arts","Male","N/A","chrome",1536,745,"Windows 10","2022-07-12T20:00:59.679Z","success","summer22",1,0,9.39805
"4VP91","SGC4A","114","Orth-Sparse","su22sona","2218","39291","sona","asynch","TRUE","I tried my best on each question",4,4,2,"There was a missing word or something in one of the early questions that confused me",21,"USA","English","Third","Social Sciences (incl. CogSci)","Female","No","chrome",1300,731,"Chrome OS","2022-07-21T20:48:52.975Z","success","summer22",1,0,13.2000333333333
