"subject","study","condition","pretty_condition","session","exp_id","sona_id","pool","mode","attn_check","effort","difficulty","confidence","enjoyment","other","age","country","language","schoolyear","major","gender","disability","browser","width","height","os","starttime","status","term","violations","absolute_score","totaltime_m","reason"
"D7ZC6","SGC4C","113112","TRI-rotate-45","su22sona","2218","42780","sona","asynch","FALSE","I tried my best on each question",3,3,3,"",23,"China","Mandarin","Fourth","Social Sciences (incl. CogSci)","Female","","chrome",1339,881,"Mac OS","2022-07-20T06:56:35.006Z","success","summer22",1,1,5.57841666666667,"invalid-session"
"F1BJ9","SGC4C","11311331","TRI-rotate-90","suPROLIFIC","63095beae0e9908c6594269c","615efd1df11a7d21f0f12f68","prolific","asynch","FALSE","I tried my best on each question",3,3,5,"",33,"united estates","English","Bachelors Degree","Math or Computer Sciences","Female","","chrome",1366,768,"Windows 10","2022-08-27T02:28:17.075Z","success","summer22",20,1,13.6708166666667,"exceeded-violations"
"HM13L","SGC4C","11311221","TRI-rotate-45","suPROLIFIC","6308eb43c8b615504ceb88b6","5f0d2ad60ad0d6730c380b05","prolific","asynch","TRUE","I tried my best on each question",3,5,4,"wish I could see the graph in an inverted color scheme. but I was forced to leave the tab and switch it off.",49,"United States","English","Bachelors Degree","Natural Sciences","Male","no","chrome",1536,742,"Windows 7","2022-08-26T19:19:10.264Z","success","summer22",6,12,42.5130333333333,"exceeded-violations"
"F2RLH","SGC4C","11311331","TRI-rotate-90","suPROLIFIC","63095beae0e9908c6594269c","5d012930cfeb82001817c9c9","prolific","asynch","TRUE","I tried my best on each question",3,4,3,"n/a",31,"United States","English","Bachelors Degree","Humanities","Female","no","chrome",1217,985,"Mac OS","2022-08-27T00:22:30.746Z","success","summer22",6,1,9.63441666666667,"exceeded-violations"
"2NELQ","SGC4C","11111331","ORTH-rotate-90","suPROLIFIC","630812551c99d3161df93f85","5dae16d241fbb6001160ce72","prolific","asynch","TRUE","I tried my best on each question",4,2,3,"more instructions",38,"United States","English","Graduate Degree","Math or Computer Sciences","Male","no","chrome",1600,722,"Windows 10","2022-08-26T04:13:28.524Z","success","summer22",6,2,8.6572,"exceeded-violations"
"Y9D80","SGC4C","11111221","ORTH-rotate-45","suPROLIFIC","630788d1dba2be77aacb6701","5f44c445cfb0a801244f652f","prolific","asynch","TRUE","I tried my best on most questions",4,3,1,"confusing",29,"United States","English","Bachelors Degree","Biomedical & Health Sciences","Male","no","chrome",1672,872,"Windows 10","2022-08-25T16:48:24.266Z","success","summer22",6,0,7.20725,"exceeded-violations"
"92U0X","SGC4C","11311221","TRI-rotate-45","suPROLIFIC","6308eb43c8b615504ceb88b6","6234965d3869b875dc31d93a","prolific","asynch","TRUE","I tried my best on each question",3,4,2,"",29,"United States of America","English","Associates Degree","Math or Computer Sciences","Male","","chrome",1837,1009,"Windows 10","2022-08-26T19:18:30.398Z","success","summer22",11.5,10,35.8518666666667,"exceeded-violations"
"WEE32","SGC4C","11111221","ORTH-rotate-45","suPROLIFIC","","","prolific","asynch","TRUE","I tried my best on most questions",4,1,5,"I am currently an Industrial Engineering student at Purdue University ",22,"USA","English","Secondary School/Highschool","Engineering","Male","N/A","chrome",1478,723,"Windows 10","2022-08-25T05:42:43.838Z","success","summer22",13,8,27.86685,"exceeded-violations"
"WF3BG","SGC4C","11111331","ORTH-rotate-90","suPROLIFIC","630812551c99d3161df93f85","611208e8d4ab54df137ab05a","prolific","asynch","TRUE","I tried my best on each question",3,4,2,"",20,"United States","English","some college","Math or Computer Sciences","Male","","chrome",1920,969,"Windows 10","2022-08-26T01:48:42.598Z","success","summer22",13.5,0,41.0783,"exceeded-violations"
"9M9DZ","SGC4C","11311221","TRI-rotate-45","suPROLIFIC","6308eb43c8b615504ceb88b6","5d9f5c0702dca80018822b8e","prolific","asynch","FALSE","I tried my best on each question",5,4,5,"",36,"United States","English","Bachelors Degree","Engineering","Male","","chrome",1517,705,"Windows 10","2022-08-26T20:22:19.898Z","success","summer22",16,6,23.5868666666667,"exceeded-violations"
