"subject","study","condition","pretty_condition","session","exp_id","sona_id","pool","mode","attn_check","effort","difficulty","confidence","enjoyment","other","age","country","language","schoolyear","major","gender","disability","browser","width","height","os","starttime","status","term","violations","absolute_score","totaltime_m"
"DR8S7","SGC4C","11111331","ORTH-rotate-90","suPROLIFIC","630812551c99d3161df93f85","614e64473e9073bb219b270d","prolific","asynch","TRUE","I tried my best on each question",5,5,1,"",73,"usa","English","X-OTHER","Engineering","Male","no","chrome",1920,929,"Chrome OS","2022-08-26T04:09:16.150Z","success","summer22",1,0,15.4522333333333
"O4PRC","SGC4C","11311221","TRI-rotate-45","suPROLIFIC","6308eb43c8b615504ceb88b6","6032d0ccaa844c33db7f5b2e","prolific","asynch","TRUE","I tried my best on each question",5,4,4,"",32,"United States","English","some college","Math or Computer Sciences","Male","","chrome",1678,915,"Windows 10","2022-08-26T16:26:34.207Z","success","summer22",1,8,7.80775
"21HBX","SGC4C","11111221","ORTH-rotate-45","suPROLIFIC","630788d1dba2be77aacb6701","62ddaf6866360121676c29c3","prolific","asynch","TRUE","I tried my best on each question",3,4,4,"N/A, the directions were thorough.",41,"United States","English","Bachelors Degree","Humanities","Male","","chrome",1440,788,"Mac OS","2022-08-25T22:18:49.896Z","success","summer22",1,8,7.10503333333333
"RV5TO","SGC4C","11311331","TRI-rotate-90","suPROLIFIC","63095beae0e9908c6594269c","6115b300c8cd1b42a617720e","prolific","asynch","TRUE","I tried my best on each question",3,4,4,"",19,"United States","English","some college","Math or Computer Sciences","Female","","chrome",1536,864,"Windows 10","2022-08-27T00:46:51.997Z","success","summer22",1,12,13.5601166666667
"Z4N5B","SGC4C","11111331","ORTH-rotate-90","suPROLIFIC","630812551c99d3161df93f85","57dd186e6598aa0001992616","prolific","asynch","TRUE","I tried my best on most questions",5,3,1,"Some examples at the beginning would help.",30,"USA","English","Bachelors Degree","Fine Arts","Male","no","chrome",1920,979,"Windows 10","2022-08-26T04:28:50.337Z","success","summer22",1,2,11.3457
"BECZE","SGC4C","11111331","ORTH-rotate-90","suPROLIFIC","630812551c99d3161df93f85","5ce9c6df6b2b3d001a94b24f","prolific","asynch","TRUE","I tried my best on each question",4,2,3,"Nothing comes to mind. ",47,"United States","English","some college","Fine Arts","Male","No, none. ","chrome",1366,768,"Windows 7","2022-08-26T03:56:39.544Z","success","summer22",2,0,16.0032333333333
"19J1Q","SGC4C","11111331","ORTH-rotate-90","suPROLIFIC","630812551c99d3161df93f85","6286c4c0df22b592d4ae632a","prolific","asynch","TRUE","I tried my best on each question",3,4,3,"There was one question where I didn't see any valid answers, I left that response blank.",27,"United States","English","Graduate Degree","Math or Computer Sciences","Male","","chrome",2560,1329,"Windows 10","2022-08-26T04:07:06.776Z","success","summer22",2.5,12,12.1171
"FEOH4","SGC4C","11111331","ORTH-rotate-90","suPROLIFIC","630812551c99d3161df93f85","61692a71630be6d801e55db0","prolific","asynch","TRUE","I tried my best on each question",4,4,1,"I'm not sure; I feel like some of the data points weren't as clear maybe, since I don't think they started on-the-hour (11:30 for example).",24,"United States of America","English","Secondary School/Highschool","Fine Arts","Male","No.","chrome",1536,714,"Windows 10","2022-08-26T05:28:44.667Z","success","summer22",1,0,15.4294833333333
"KUB28","SGC4C","11111221","ORTH-rotate-45","suPROLIFIC","","","prolific","asynch","TRUE","I tried my best on each question",3,2,3,"it took a minute to figure out how the graph actually worked. it was not easy to read",24,"United States","English","Bachelors Degree","Social Sciences (incl. CogSci)","Other-Not Listed","","chrome",1486,939,"Mac OS","2022-08-25T05:21:58.151Z","success","summer22",1,10,14.1635
"Y2L3R","SGC4C","11311221","TRI-rotate-45","suPROLIFIC","6308eb43c8b615504ceb88b6","5bd8d7dc196e7000013cdc2e","prolific","asynch","TRUE","I tried my best on each question",4,3,4,"I got confused sometimes. ",43,"United States","English","some college","Humanities","Female","","chrome",1536,754,"Windows 10","2022-08-26T19:21:31.983Z","success","summer22",1,2,5.91341666666667
"9CODD","SGC4C","11311331","TRI-rotate-90","suPROLIFIC","63095beae0e9908c6594269c","6089714497c6a46ebdf12234","prolific","asynch","TRUE","I tried my best on each question",1,5,5,"",27,"United States","English","Bachelors Degree","Math or Computer Sciences","Female","","chrome",1536,746,"Windows 10","2022-08-27T02:25:27.034Z","success","summer22",4,9,11.4856333333333
"TTJYZ","SGC4C","11111331","ORTH-rotate-90","suPROLIFIC","630812551c99d3161df93f85","60fcdd362d1a5e0d012b91f0","prolific","asynch","TRUE","I tried my best on each question",3,3,3,"n/a",22,"USA","English","Bachelors Degree","Math or Computer Sciences","Female","NO","chrome",1440,821,"Mac OS","2022-08-26T03:57:52.346Z","success","summer22",1,2,26.38235
"UXUG2","SGC4C","11111221","ORTH-rotate-45","suPROLIFIC","","","prolific","asynch","TRUE","I tried my best on each question",3,5,5,"",27,"United Sates of America","English","Bachelors Degree","Math or Computer Sciences","Female","no","chrome",1692,908,"Windows 10","2022-08-25T05:08:37.069Z","success","summer22",5.5,10,52.91575
"P18KW","SGC4C","11311331","TRI-rotate-90","suPROLIFIC","63095beae0e9908c6594269c","5ec2feeb47c4471339d3b2ce","prolific","asynch","TRUE","I tried my best on each question",5,3,1,"The chart was too small and hard to see the letters. ",60,"United States","English","Associates Degree","Fine Arts","Female","No","chrome",1366,695,"Windows 10","2022-08-27T04:19:31.771Z","success","summer22",2,0,15.2836666666667
"GD2OK","SGC4C","111112","ORTH-rotate-45","suPROLIFIC","62d846e008ffdac5ea24b94e","60fd6607e7beec3c98d994b1","prolific","asynch","TRUE","I tried my best on each question",2,4,4,"",25,"United States of America","English","some college","Social Sciences (incl. CogSci)","Female","No","chrome",1920,969,"Windows 10","2022-07-20T19:35:38.500Z","success","summer22",2,0,14.75555
"55QDU","SGC4C","11111221","ORTH-rotate-45","suPROLIFIC","630788d1dba2be77aacb6701","62d8e75cba698660a22802c7","prolific","asynch","TRUE","I tried my best on each question",4,4,5,"",20,"United States","English","Secondary School/Highschool","Math or Computer Sciences","Male","","chrome",1920,937,"Windows 10","2022-08-25T22:20:17.132Z","success","summer22",1,0,11.4821333333333
"GC47R","SGC4C","113112","TRI-rotate-45","suPROLIFIC","62d78f270296bdf7e6cf9515","616f731019e910895fd75621","prolific","asynch","TRUE","I tried my best on most questions",4,2,2,"",22,"United States","English","Bachelors Degree","Fine Arts","Female","no","chrome",1242,698,"Windows 10","2022-07-20T18:21:40.213Z","success","summer22",3,0,18.1592
