"subject","study","term","pool","mode","condition","pretty_condition","block","explicit","impasse","grid","mark","ixn","gwidth","gheight","graph","time_elapsed_m","question","relation","q","correct","answer","rt_s"
"CKQ8J","SGC4D","summer22","prolific","asynch","11111112","ORTH-equilateral","item_scaffold","1","1","1","1","1",600,600,"triangular",1.65273333333333,"Which shift(s) start at 11 am?","starttime","1","FALSE","A",20.329
"CKQ8J","SGC4D","summer22","prolific","asynch","11111112","ORTH-equilateral","item_scaffold","1","1","1","1","1",600,600,"triangular",1.83731666666667,"Which shift(s) start at the same time as D?","starts","2","FALSE","E",10.998
"CKQ8J","SGC4D","summer22","prolific","asynch","11111112","ORTH-equilateral","item_scaffold","1","1","1","1","1",600,600,"triangular",2.29063333333333,"Which shift(s) begin when C ends?","meets","3","FALSE","Z",27.116
"CKQ8J","SGC4D","summer22","prolific","asynch","11111112","ORTH-equilateral","item_scaffold","1","1","1","1","1",600,600,"triangular",2.48921666666667,"Which shift(s) end at 4 pm?","endtime","4","FALSE","D,E",11.853
"CKQ8J","SGC4D","summer22","prolific","asynch","11111112","ORTH-equilateral","item_scaffold","1","1","1","1","1",600,600,"triangular",3.79821666666667,"Coffee breaks happen halfway through a shift.</br> Which shift(s) share a break with I?","midpoint","5","FALSE","K",78.477
"CKQ8J","SGC4D","summer22","prolific","asynch","11111112","ORTH-equilateral","item_nondiscriminant","1","1","1","1","1",600,600,"triangular",4.07701666666667,"Which shift(s) are six hours long?","duration","6","TRUE","E,G",9.453
"CKQ8J","SGC4D","summer22","prolific","asynch","11111112","ORTH-equilateral","item_test","1","1","1","1","1",600,600,"triangular",4.35503333333333,"Which 2 shifts less than 5 hours long start at the same time?","duration+starts","7","FALSE","B,F",16.619
"CKQ8J","SGC4D","summer22","prolific","asynch","11111112","ORTH-equilateral","item_test","1","1","1","1","1",600,600,"triangular",6.09148333333333,"Which shift(s) under 7 hours long starts before B starts, and ends after X ends?","duration+contained","8","FALSE","E",104.123
"CKQ8J","SGC4D","summer22","prolific","asynch","11111112","ORTH-equilateral","item_nondiscriminant","1","1","1","1","1",600,600,"triangular",6.63408333333333,"Which shift(s) begins before J begins and ends during B?","starttime+before+endtime+during","9","TRUE","I",32.392
"CKQ8J","SGC4D","summer22","prolific","asynch","11111112","ORTH-equilateral","item_test","1","1","1","1","1",600,600,"triangular",7.30661666666667,"Which shift(s) end at the same time as F?","ends","10","FALSE","Z",40.289
