"subject","session","term","condition","ts_n","tt_n","triangular_score","os_n","ot_n","orthogonal_score","explicit","impasse","axis","triangular_time","totalTime","ts_t","tt_t","attn_check","native_language","year","major","country","sex","age"
"8MVD2","strategy-connecting","spring18","121",5,10,15,0,2,2,"1","2","Orthogonal-XInside-YFull",185255,1222396,33015,152240,1,"English","Fourth","Social Sciences (incl. CogSci)","usa","Female",21
"RGPN4","MOUSE","spring18","121",5,10,15,0,2,2,"1","2","full",805597,982057,451570,354027,1,"Spanish","Second","Social Sciences (incl. CogSci)","UNITED STATES","Female",19
"WQKT9","strategy-connecting","spring18","121",0,6,6,0,2,2,"1","2","Orthogonal-XInside-YFull",350726,414034,70391,280335,1,"English","Second","Social Sciences (incl. CogSci)","","Female",NA
"ZNVCQ","MOUSE","spring18","111",0,2,2,5,9,14,"1","1","full",1015443,1111413,455412,560031,1,"English","Fifth","Social Sciences (incl. CogSci)","USA","Female",22
"BF80A","MOUSE","spring18","121",1,2,3,0,9,9,"1","2","full",889992,1007528,435022,454970,1,"English","First","Math or Computer Sciences","United States","Male",18
"B2GMH","MOUSE","spring18","111",0,2,2,5,10,15,"1","1","full",1035592,1213012,581973,453619,1,"Mandarin or Cantonese","Fourth","Social Sciences (incl. CogSci)","China","Female",22
"G72GB","strategy-satisficing","spring18","121",5,10,15,0,2,2,"1","2","Orthogonal-XInside-YFull",259305,2242091,50030,209275,1,"English","Fourth","Social Sciences (incl. CogSci)","USA","Female",21
"7PEXQ","MOUSE","spring18","111",0,2,2,5,10,15,"1","1","full",749092,879176,436067,313025,1,"English","First","Biomedical & Health Sciences","United States of America","Female",18
"TWVNQ","MOUSE","spring18","111",5,10,15,0,2,2,"1","1","full",624861,766396,316427,308434,1,"English","Second","Social Sciences (incl. CogSci)","USA","Female",19
"VKOJQ","MOUSE","spring18","121",5,10,15,0,2,2,"1","2","full",730319,928110,336114,394205,1,"Mandarin or Cantonese","Third","Math or Computer Sciences","China\nChina","Male",21
"PRXGX","MOUSE","spring18","121",0,2,2,0,7,7,"1","2","full",1067048,1152812,571330,495718,1,"English","Third","Biomedical & Health Sciences","united states","Female",21
"ZYASS","strategy-satisficing","spring18","121",0,2,2,0,4,4,"1","2","Orthogonal-XInside-YFull",590041,1538876,139756,450285,1,"English","Second","Social Sciences (incl. CogSci)","","Female",NA
